X,Y,Time
1249,499,4.130815505981445
1212,466,4.210744857788086
1171,435,4.290689945220947
1130,403,4.365934133529663
1091,369,4.447219371795654
1060,354,4.542122840881348
1025,332,4.630029678344727
987,310,4.715701103210449
950,291,4.802539587020874
911,274,4.894397020339966
875,259,4.982346057891846
837,249,5.071461915969849
799,238,5.1612229347229
760,230,5.2532782554626465
723,228,5.3468403816223145
685,224,5.426438808441162
646,224,5.508643388748169
608,227,5.591365814208984
568,232,5.66788387298584
528,240,5.760391473770142
489,249,5.834364652633667
449,261,5.925658702850342
418,278,6.003875255584717
369,297,6.090888023376465
337,318,6.173998832702637
