X,Y,Time
1218,443,3.5141963958740234
1190,409,3.574948787689209
1146,371,3.63149094581604
1127,341,3.6866025924682617
1096,311,3.7466278076171875
1066,284,3.805959701538086
1036,258,3.8641812801361084
1004,233,3.9264254570007324
975,213,3.9873361587524414
945,194,4.040727138519287
915,178,4.09572434425354
886,163,4.152926921844482
856,152,4.218334197998047
826,142,4.2811009883880615
797,135,4.351634502410889
767,130,4.414270401000977
738,128,4.47667384147644
708,128,4.531879186630249
679,130,4.599672317504883
649,135,4.655050754547119
620,142,4.708650350570679
591,151,4.761635780334473
562,164,4.866194486618042
533,179,4.936058759689331
504,195,5.028027772903442
475,213,5.152303695678711
446,235,5.289510250091553
418,259,5.375378608703613
387,286,5.470614194869995
348,378,6.221577882766724
353,383,6.278574705123901
355,388,6.334337472915649
356,392,6.399468898773193
354,393,6.46216893196106
350,393,6.517410755157471
346,394,6.573961973190308
342,402,6.985832452774048
345,404,7.060245513916016
347,410,7.118030548095703
350,415,7.180294990539551
352,424,7.237921476364136
356,438,7.292974472045898
357,452,7.354852199554443
359,469,7.418658256530762
