X,Y,Time
0,0,1.635
28,34,1.6683333333333334
72,72,1.7016666666666669
91,102,1.735
122,132,1.7683333333333335
152,159,1.8016666666666667
182,185,1.8350000000000002
214,210,1.8683333333333334
243,230,1.9016666666666668
273,249,1.935
303,265,1.9683333333333335
332,280,2.001666666666667
362,291,2.035
392,301,2.0683333333333334
421,308,2.101666666666667
451,313,2.1350000000000007
480,315,2.1683333333333334
510,315,2.2016666666666667
539,313,2.2350000000000003
569,308,2.2683333333333335
598,301,2.3016666666666667
627,292,2.335
656,279,2.3683333333333336
685,264,2.401666666666667
714,248,2.435
743,230,2.468333333333334
772,208,2.501666666666667
800,184,2.535
831,157,2.5683333333333334
