Time,Energia_cinetica,Energia_potencial,Energia_mecanica
1.635,0.0,0.0,0.0
1.6683,12.964206,0.977586,13.941792
1.7017,11.923558,1.893911,13.81747
1.735,11.087738,2.74897,13.836708
1.7683,10.24177,3.54277,13.784539
1.8017,9.400614,4.275306,13.67592
1.835,8.734081,4.946578,13.680659
1.8683,8.072461,5.556588,13.629049
1.9017,7.427589,6.105338,13.532927
1.935,6.933578,6.592823,13.526401
1.9683,6.456306,7.019047,13.475354
2.0017,6.004428,7.384008,13.388436
2.035,5.686196,7.687707,13.373902
2.0683,5.393329,7.930142,13.32347
2.1017,5.131071,8.111316,13.242387
2.135,4.992033,8.231228,13.223261
2.1683,4.883523,8.289877,13.1734
2.2017,4.807593,8.287262,13.094855
2.235,4.850925,8.223388,13.074313
2.2683,4.926876,8.098247,13.025123
2.3017,5.033969,7.911846,12.945814
2.335,5.26308,7.664183,12.927263
2.3683,5.523385,7.355256,12.878641
2.4017,5.810159,6.985067,12.795226
2.435,6.228354,6.553618,12.781972
2.4683,6.673016,6.060904,12.733921
2.5017,7.136284,5.506927,12.643211
2.535,7.746775,4.891688,12.638463
2.5683,8.375833,4.215189,12.591022
