Time,pos_X_teorica,pos_Y_teorica,vel_X_teorica,vel_Y_teorica,acc_Y_teorica
1.635,0.0,0.0,0.0,0.0,-9.81
1.6683,0.132046,0.172734,3.96534,5.023885,-9.81
1.7017,0.264488,0.33506,3.96534,4.696231,-9.81
1.735,0.396534,0.486006,3.96534,4.369558,-9.81
1.7683,0.52858,0.626073,3.96534,4.042885,-9.81
1.8017,0.661022,0.755633,3.96534,3.715231,-9.81
1.835,0.793068,0.873912,3.96534,3.388558,-9.81
1.8683,0.925114,0.981311,3.96534,3.061885,-9.81
1.9017,1.057556,1.078107,3.96534,2.734231,-9.81
1.935,1.189602,1.163717,3.96534,2.407558,-9.81
1.9683,1.321648,1.23845,3.96534,2.080885,-9.81
2.0017,1.45409,1.30248,3.96534,1.753231,-9.81
2.035,1.586136,1.355423,3.96534,1.426558,-9.81
2.0683,1.718182,1.397488,3.96534,1.099885,-9.81
2.1017,1.850624,1.428753,3.96534,0.772231,-9.81
2.135,1.98267,1.449029,3.96534,0.445558,-9.81
2.1683,2.114716,1.458427,3.96534,0.118885,-9.81
2.2017,2.247158,1.456926,3.96534,-0.208769,-9.81
2.235,2.379204,1.444535,3.96534,-0.535442,-9.81
2.2683,2.51125,1.421265,3.96534,-0.862115,-9.81
2.3017,2.643692,1.386999,3.96534,-1.189769,-9.81
2.335,2.775738,1.341941,3.96534,-1.516442,-9.81
2.3683,2.907784,1.286004,3.96534,-1.843115,-9.81
2.4017,3.040226,1.218972,3.96534,-2.170769,-9.81
2.435,3.172272,1.141246,3.96534,-2.497442,-9.81
2.4683,3.304318,1.052642,3.96534,-2.824115,-9.81
2.5017,3.43676,0.952845,3.96534,-3.151769,-9.81
2.535,3.568806,0.842452,3.96534,-3.478442,-9.81
2.5683,3.700852,0.721181,3.96534,-3.805115,-9.81
