X,Y,Time,velocityX,velocityY,accelerationY,pos_X_teorica,vel_X_teorica,pos_Y_teorica,vel_Y_teorica,acc_Y_teorica,Energia_cinetica,Energia_potencial,Energia_mecanica
0.0,0.0,1.635,0.0,0.0,0.0,0.0,3.96534,0.0,5.350558,-9.81,0.0,0.0,0.0
0.135643,0.167256,1.6683,4.073378,5.022709,0.0,0.132046,3.96534,0.172734,5.023885,-9.81,12.964206,0.977586,13.941792
0.27103,0.324031,1.7017,4.053487,4.693861,-9.8458,0.264488,3.96534,0.33506,4.696231,-9.81,11.923558,1.893911,13.81747
0.406159,0.470324,1.735,4.057941,4.393178,-9.0295,0.396534,3.96534,0.486006,4.369558,-9.81,11.087738,2.74897,13.836708
0.541032,0.606136,1.7683,4.050223,4.078439,-9.4516,0.52858,3.96534,0.626073,4.042885,-9.81,10.24177,3.54277,13.784539
0.675647,0.731466,1.8017,4.030388,3.752404,-9.7615,0.661022,3.96534,0.755633,3.715231,-9.81,9.400614,4.275306,13.67592
0.810005,0.846315,1.835,4.034786,3.448907,-9.114,0.793068,3.96534,0.873912,3.388558,-9.81,8.734081,4.946578,13.680659
0.944106,0.950682,1.8683,4.027067,3.134155,-9.452,0.925114,3.96534,0.981311,3.061885,-9.81,8.072461,5.556588,13.629049
1.07795,1.044568,1.9017,4.007301,2.810961,-9.6765,1.057556,3.96534,1.078107,2.734231,-9.81,7.427589,6.105338,13.532927
1.211538,1.127973,1.935,4.01163,2.504636,-9.1989,1.189602,3.96534,1.163717,2.407558,-9.81,6.933578,6.592823,13.526401
1.344867,1.200896,1.9683,4.003898,2.189884,-9.452,1.321648,3.96534,1.23845,2.080885,-9.81,6.456306,7.019047,13.475354
1.477941,1.263337,2.0017,3.984229,1.869504,-9.5922,1.45409,3.96534,1.30248,1.753231,-9.81,6.004428,7.384008,13.388436
1.610756,1.315298,2.035,3.988462,1.560366,-9.2834,1.586136,3.96534,1.355423,1.426558,-9.81,5.686196,7.687707,13.373902
1.743315,1.356776,2.0683,3.980743,1.2456,-9.4524,1.718182,3.96534,1.397488,1.099885,-9.81,5.393329,7.930142,13.32347
1.875617,1.387773,2.1017,3.961129,0.92806,-9.5072,1.850624,3.96534,1.428753,0.772231,-9.81,5.131071,8.111316,13.242387
2.007662,1.408289,2.135,3.96532,0.616095,-9.3683,1.98267,3.96534,1.449029,0.445558,-9.81,4.992033,8.231228,13.223261
2.13945,1.418323,2.1683,3.957588,0.301329,-9.4524,2.114716,3.96534,1.458427,0.118885,-9.81,4.883523,8.289877,13.1734
2.27098,1.417876,2.2017,3.938043,-0.013397,-9.4229,2.247158,3.96534,1.456926,-0.208769,-9.81,4.807593,8.287262,13.094855
2.402254,1.406948,2.235,3.942137,-0.328176,-9.4528,2.379204,3.96534,1.444535,-0.535442,-9.81,4.850925,8.223388,13.074313
2.53327,1.385537,2.2683,3.934432,-0.642955,-9.4528,2.51125,3.96534,1.421265,-0.862115,-9.81,4.926876,8.098247,13.025123
2.66403,1.353646,2.3017,3.914957,-0.95484,-9.3379,2.643692,3.96534,1.386999,-1.189769,-9.81,5.033969,7.911846,12.945814
2.794532,1.311273,2.335,3.918995,-1.27246,-9.5381,2.775738,3.96534,1.341941,-1.516442,-9.81,5.26308,7.664183,12.927263
2.924778,1.258418,2.3683,3.911277,-1.587226,-9.4524,2.907784,3.96534,1.286004,-1.843115,-9.81,5.523385,7.355256,12.878641
3.054766,1.195082,2.4017,3.891858,-1.896284,-9.2532,3.040226,3.96534,1.218972,-2.170769,-9.81,5.810159,6.985067,12.795226
3.184497,1.121265,2.435,3.89584,-2.216731,-9.623,3.172272,3.96534,1.141246,-2.497442,-9.81,6.228354,6.553618,12.781972
3.313971,1.036966,2.4683,3.888108,-2.531497,-9.4524,3.304318,3.96534,1.052642,-2.824115,-9.81,6.673016,6.060904,12.733921
3.443189,0.942186,2.5017,3.868785,-2.837741,-9.169,3.43676,3.96534,0.952845,-3.151769,-9.81,7.136284,5.506927,12.643211
3.572149,0.836924,2.535,3.872671,-3.161015,-9.7079,3.568806,3.96534,0.842452,-3.478442,-9.81,7.746775,4.891688,12.638463
3.700852,0.721181,2.5683,3.864953,-3.475767,-9.452,3.700852,3.96534,0.721181,-3.805115,-9.81,8.375833,4.215189,12.591022
