X,Y,Time
0.0,0.0,1.635
34.7714,36.6286,1.6683
66.8286,70.9714,1.7017
96.8,103.6286,1.735
122.3143,132.2571,1.7683
153.4286,159.8571,1.8017
184.1143,186.0286,1.835
214.7429,210.0,1.8683
244.9429,231.2,1.9017
274.5143,249.3428,1.935
304.2572,266.1143,1.9683
333.7714,280.1714,2.0017
363.5143,292.1143,2.035
393.2572,301.4286,2.0683
422.8572,308.8571,2.1017
452.1714,313.5143,2.135
481.8572,315.7714,2.1683
511.1714,315.7714,2.2017
540.8572,313.5143,2.235
570.2572,308.7714,2.2683
599.6,301.8571,2.3017
628.5143,292.3428,2.335
657.5143,279.7714,2.3683
686.5143,264.8571,2.4017
715.5143,248.7714,2.435
744.6,230.3428,2.4683
773.0857,208.9428,2.5017
802.4,184.7143,2.535
832.1429,157.6286,2.5683
