X,Y,Time
0.0,0.0,0.7333
24.0,15.0,0.75
48.0,30.0,0.7667
72.0,44.0,0.7833
96.0,57.0,0.8
119.0,70.0,0.8167
143.0,82.0,0.8333
167.0,93.0,0.85
190.0,104.0,0.8667
214.0,114.0,0.8833
237.0,123.0,0.9
261.0,132.0,0.9167
284.0,140.0,0.9333
308.0,148.0,0.95
331.0,155.0,0.9667
355.0,162.0,0.9833
378.0,168.0,1.0
402.0,174.0,1.0167
426.0,179.0,1.0333
449.0,183.0,1.05
473.0,187.0,1.0667
497.0,190.0,1.0833
521.0,193.0,1.1
545.0,195.0,1.1167
568.0,197.0,1.1333
592.0,198.0,1.15
616.0,198.0,1.1667
640.0,198.0,1.185
664.0,197.0,1.2017
689.0,196.0,1.2183
713.0,194.0,1.235
737.0,191.0,1.2517
761.0,188.0,1.2683
785.0,184.0,1.285
810.0,180.0,1.3017
833.0,176.0,1.3183
830.0,170.0,1.335
817.0,159.0,1.3517
803.0,147.0,1.3683
790.0,134.0,1.385
776.0,121.0,1.4017
763.0,107.0,1.4183
750.0,92.0,1.435
736.0,76.0,1.4517
723.0,60.0,1.4683
709.0,43.0,1.485
696.0,25.0,1.5017
682.0,7.0,1.5183
668.0,-13.0,1.535
655.0,-33.0,1.5517
641.0,-54.0,1.5683
627.0,-76.0,1.585
