X,Y,Time
654,446,0.7333
678,431,0.75
702,416,0.7667
726,402,0.7833
750,389,0.8
773,376,0.8167
797,364,0.8333
821,353,0.85
844,342,0.8667
868,332,0.8833
891,323,0.9
915,314,0.9167
938,306,0.9333
962,298,0.95
985,291,0.9667
1009,284,0.9833
1032,278,1.0
1056,272,1.0167
1080,267,1.0333
1103,263,1.05
1127,259,1.0667
1151,256,1.0833
1175,253,1.1
1199,251,1.1167
1222,249,1.1333
1246,248,1.15
1270,248,1.1667
1294,248,1.185
1318,249,1.2017
1343,250,1.2183
1367,252,1.235
1391,255,1.2517
1415,258,1.2683
1439,262,1.285
1464,266,1.3017
1487,270,1.3183
1484,276,1.335
1471,287,1.3517
1457,299,1.3683
1444,312,1.385
1430,325,1.4017
1417,339,1.4183
1404,354,1.435
1390,370,1.4517
1377,386,1.4683
1363,403,1.485
1350,421,1.5017
1336,439,1.5183
1322,459,1.535
1309,479,1.5517
1295,500,1.5683
1281,522,1.585
