X,Y,Time
0.0,0.0,0.7333
39.7647,17.3919,0.75
78.5469,34.0515,0.7667
116.3468,49.9788,0.7833
153.1642,65.1738,0.8
188.9992,79.6364,0.8167
223.8518,93.3667,0.8333
257.7219,106.3647,0.85
290.6096,118.6304,0.8667
322.5149,130.1638,0.8833
353.4378,140.9648,0.9
383.3782,151.0336,0.9167
412.3362,160.37,0.9333
440.3118,168.9741,0.95
467.305,176.8458,0.9667
493.3157,183.9853,0.9833
518.344,190.3924,1.0
542.3899,196.0672,1.0167
565.4533,201.0097,1.0333
587.5344,205.2199,1.05
608.633,208.6977,1.0667
628.7491,211.4432,1.0833
647.8829,213.4564,1.1
666.0342,214.7373,1.1167
683.2031,215.2859,1.1333
699.3896,215.1021,1.15
714.5936,214.1861,1.1667
728.8153,212.5377,1.185
742.0545,210.1569,1.2017
754.3112,207.0439,1.2183
765.5856,203.1985,1.235
775.8775,198.6209,1.2517
785.187,193.3109,1.2683
793.514,187.2686,1.285
800.8587,180.4939,1.3017
807.2209,172.987,1.3183
812.6007,164.7477,1.335
816.998,155.7761,1.3517
820.413,146.0722,1.3683
822.8455,135.6359,1.385
824.2956,124.4674,1.4017
824.7632,112.5665,1.4183
824.2485,99.9333,1.435
822.7513,86.5678,1.4517
820.2716,72.4699,1.4683
816.8096,57.6398,1.485
812.3651,42.0773,1.5017
806.9382,25.7825,1.5183
800.5289,8.7554,1.535
793.1371,-9.0041,1.5517
784.763,-27.4958,1.5683
775.4064,-46.7199,1.585
