X,Y,Time
0.0,0.0,0.7333
24.0,15.3714,0.75
48.0,30.0286,0.7667
72.0857,44.0286,0.7833
95.7429,57.2857,0.8
119.2571,70.0286,0.8167
143.0,82.0286,0.8333
166.7429,93.2857,0.85
190.3429,104.0286,0.8667
213.6571,114.0286,0.8833
237.3429,123.2857,0.9
260.6571,131.9429,0.9167
284.3429,140.2857,0.9333
307.6571,147.9429,0.95
331.3429,155.2857,0.9667
354.6571,161.9429,0.9833
378.2571,168.2857,1.0
402.0,174.0286,1.0167
425.7429,179.0286,1.0333
449.2571,183.2857,1.05
472.9143,186.9429,1.0667
497.0,190.2857,1.0833
521.0857,192.9429,1.1
544.7429,195.2857,1.1167
568.2571,197.0286,1.1333
591.9143,198.0286,1.15
616.0,198.2857,1.1667
639.9143,197.9429,1.185
664.2571,197.2857,1.2017
688.7429,196.0286,1.2183
713.0857,194.0286,1.235
737.0,191.2857,1.2517
760.9143,187.9429,1.2683
785.3429,184.2,1.285
811.8,180.2857,1.3017
829.5714,176.2,1.3183
830.6,169.5143,1.335
817.6,159.4572,1.3517
803.3429,147.0286,1.3683
789.6571,134.2857,1.385
776.2571,121.0286,1.4017
763.0,107.1143,1.4183
749.7429,92.0286,1.435
736.3429,76.2857,1.4517
722.6571,60.0286,1.4683
709.3429,43.0286,1.485
695.7429,25.3714,1.5017
682.0,6.7714,1.5183
668.2571,-12.6286,1.535
654.7429,-32.9714,1.5517
640.9714,-54.0286,1.5683
627.0571,-75.8,1.585
