X,Y,Time
0.0,0.0,0.0833
42.5944,-18.2122,0.1
84.2473,-35.8702,0.1167
124.9588,-52.9741,0.1333
164.7288,-69.5238,0.15
203.5574,-85.5193,0.1683
241.4445,-100.9606,0.185
278.3902,-115.8478,0.2017
314.3945,-130.1808,0.2183
349.4573,-143.9596,0.235
383.5786,-157.1842,0.2517
416.7585,-169.8546,0.2683
448.997,-181.9709,0.285
480.294,-193.5329,0.3017
510.6495,-204.5408,0.3183
540.0637,-214.9945,0.335
568.5363,-224.8941,0.3517
596.0675,-234.2394,0.3683
622.6573,-243.0306,0.385
648.3056,-251.2676,0.4017
673.0125,-258.9504,0.4183
696.7779,-266.0791,0.435
719.6019,-272.6535,0.4517
741.4845,-278.6738,0.4683
762.4255,-284.1399,0.485
782.4252,-289.0518,0.5017
801.4834,-293.4096,0.5183
819.6001,-297.2132,0.535
836.7754,-300.4625,0.5517
853.0093,-303.1577,0.5683
868.3017,-305.2988,0.585
882.6526,-306.8856,0.6017
896.0621,-307.9183,0.6183
908.5302,-308.3968,0.635
920.0568,-308.3211,0.6517
930.642,-307.6912,0.6683
940.2857,-306.5072,0.685
948.988,-304.7689,0.7017
956.7488,-302.4765,0.7183
963.5682,-299.6299,0.735
969.4461,-296.2292,0.7517
974.3826,-292.2742,0.7683
978.3776,-287.7651,0.785
981.4312,-282.7018,0.8017
983.5434,-277.0843,0.8183
984.7141,-270.9126,0.835
984.9433,-264.1868,0.8517
984.2311,-256.9068,0.8683
982.5775,-249.0725,0.885
979.9824,-240.6842,0.9017
976.4458,-231.7416,0.9183
971.9678,-222.2449,0.935
966.5484,-212.1939,0.9517
960.1875,-201.5888,0.9683
952.8852,-190.4296,0.985
944.6414,-178.7161,1.0017
935.4562,-166.4485,1.0183
925.3295,-153.6266,1.035
914.2614,-140.2506,1.0517
902.2518,-126.3205,1.0683
889.3008,-111.8361,1.085
875.4084,-96.7976,1.1017
860.5745,-81.2049,1.1183
844.7991,-65.058,1.135
828.0823,-48.3569,1.1517
810.424,-31.1016,1.1683
791.8243,-13.2922,1.185
772.2832,5.0714,1.2017
751.8006,23.9892,1.2183
730.3766,43.4612,1.235
708.0111,63.4873,1.2517
684.7041,84.0677,1.2683
660.4558,105.2022,1.285
635.2659,126.8909,1.3017
