X,Y,Time
0.0,0.0,0.0833
22.1429,-17.4857,0.1
44.8572,-35.1142,0.1167
68.2857,-52.8571,0.1333
91.7715,-70.8571,0.15
115.0286,-87.6,0.1683
138.3715,-103.0285,0.185
161.4286,-117.9428,0.2017
184.6286,-132.6857,0.2183
207.6,-147.1142,0.235
231.2857,-160.4285,0.2517
254.9429,-173.2857,0.2683
279.0286,-185.6857,0.285
303.0286,-197.8571,0.3017
327.0286,-208.7714,0.3183
350.9429,-219.0285,0.335
375.3715,-228.6857,0.3517
399.5143,-237.9428,0.3683
423.3715,-246.9428,0.385
446.9429,-255.8571,0.4017
471.0286,-263.5142,0.4183
495.0286,-270.3714,0.435
519.1143,-276.3428,0.4517
542.6857,-282.2857,0.4683
566.5429,-287.6,0.485
590.6857,-293.0285,0.5017
615.2,-297.8571,0.5183
638.7715,-301.5142,0.535
662.2,-304.2857,0.5517
686.2,-306.6857,0.5683
710.7715,-308.7714,0.585
735.1143,-310.0285,0.6017
758.8572,-310.7714,0.6183
783.5429,-310.7714,0.635
808.5143,-310.0285,0.6517
833.2,-308.6857,0.6683
857.0286,-307.0285,0.685
880.9429,-304.6857,0.7017
905.2,-302.1142,0.7183
930.0286,-298.4285,0.735
955.2857,-294.2857,0.7517
981.1715,-289.5142,0.7683
992.8,-285.2,0.785
985.4286,-280.7714,0.8017
966.5429,-275.4285,0.8183
950.8572,-269.5428,0.835
936.1143,-263.3428,0.8517
920.7715,-257.1142,0.8683
905.2857,-249.6857,0.885
890.0286,-242.1142,0.9017
874.8572,-233.4285,0.9183
859.0286,-224.3714,0.935
843.2,-214.3428,0.9517
828.0286,-204.2857,0.9683
812.6857,-193.6857,0.985
797.5429,-182.8571,1.0017
782.7715,-170.7714,1.0183
767.7715,-157.9428,1.035
752.5429,-144.9428,1.0517
737.6857,-131.7714,1.0683
723.1143,-117.8571,1.085
707.9429,-102.8571,1.1017
693.2857,-86.6857,1.1183
678.7715,-70.2857,1.135
664.0286,-53.4285,1.1517
649.2,-36.1142,1.1683
635.0286,-17.7714,1.185
620.7715,1.1429,1.2017
606.2857,21.2286,1.2183
591.9429,42.0572,1.235
578.1143,63.0572,1.2517
563.6,84.2286,1.2683
549.9143,106.2858,1.285
536.6572,129.0572,1.3017
