X,Y,Time
0.0,0.0,2.1167
16.1455,20.534,2.1333
32.2632,40.5805,2.15
48.3531,60.1397,2.1667
64.4153,79.2115,2.1833
80.4496,97.7959,2.2
96.4561,115.8929,2.2167
112.4348,133.5025,2.2333
128.3858,150.6247,2.25
144.3089,167.2596,2.2667
160.2042,183.407,2.2833
176.0718,199.067,2.3
191.9115,214.2397,2.3167
207.7235,228.9249,2.3333
223.5076,243.1227,2.35
239.264,256.8332,2.3667
254.9926,270.0563,2.3833
270.6933,282.7919,2.4
286.3663,295.0402,2.4167
302.0115,306.8011,2.4333
317.6289,318.0746,2.45
333.2184,328.8606,2.4667
348.7802,339.1593,2.4833
364.3142,348.9706,2.5
379.8204,358.2945,2.5167
395.2988,367.131,2.5333
410.7495,375.4802,2.55
426.1723,383.3419,2.5667
441.5673,390.7162,2.5833
456.9345,397.6031,2.6
472.2739,404.0027,2.6167
487.5856,409.9148,2.6333
502.8694,415.3396,2.65
518.1254,420.2769,2.6667
533.3537,424.7269,2.6833
548.5541,428.6895,2.7
563.7268,432.1646,2.7167
578.8716,435.1524,2.7333
593.9887,437.6528,2.75
609.078,439.6658,2.7667
624.1394,441.1914,2.7833
639.1731,442.2296,2.8
654.179,442.7804,2.8167
669.1571,442.8438,2.8333
684.1074,442.4198,2.85
699.0298,441.5084,2.8667
713.9245,440.1097,2.8833
728.7914,438.2235,2.9
743.6305,435.8499,2.9167
758.4419,432.989,2.9333
773.2254,429.6406,2.95
787.9811,425.8049,2.9667
802.709,421.4817,2.9833
817.4091,416.6712,3.0
832.0815,411.3733,3.0167
846.726,405.588,3.0333
861.3427,399.3152,3.05
875.9317,392.5551,3.0667
890.4928,385.3076,3.0833
905.0262,377.5727,3.1
919.5317,369.3504,3.1167
934.0095,360.6407,3.1333
948.4595,351.4437,3.15
962.8816,341.7592,3.1667
977.276,331.5873,3.1833
991.6426,320.928,3.2
1005.9814,309.7814,3.2167
1020.2923,298.1473,3.2333
1034.5755,286.0259,3.25
1048.8309,273.417,3.2667
1063.0585,260.3208,3.2833
1077.2583,246.7372,3.3
1091.4303,232.6661,3.3167
1105.5745,218.1077,3.3333
1119.691,203.0619,3.35
1133.7796,187.5287,3.3667
