X,Y,Time
1373.9714,566.1714,2.1167
1355.1143,544.3143,2.1333
1336.8286,523.0286,2.15
1319.0,502.2286,2.1667
1302.4286,482.5143,2.1833
1286.2286,460.8857,2.2
1271.0286,442.0571,2.2167
1254.9714,424.0286,2.2333
1238.3429,406.9429,2.25
1221.3429,389.0857,2.2667
1205.6571,372.1429,2.2833
1190.1714,356.3714,2.3
1173.6571,340.4571,2.3167
1157.6,326.2857,2.3333
1141.3143,312.4,2.35
1125.6,300.0857,2.3667
1109.5714,286.9143,2.3833
1094.3429,274.1714,2.4
1078.6571,261.8286,2.4167
1063.3429,250.1714,2.4333
1047.7429,238.8286,2.45
1032.0,228.1714,2.4667
1016.2571,217.8286,2.4833
1000.6571,208.0857,2.5
985.3429,199.1714,2.5167
969.5714,190.6571,2.5333
954.6857,182.1714,2.55
939.1429,174.0,2.5667
923.6,167.0857,2.5833
907.9143,160.9143,2.6
892.6571,155.0,2.6167
877.6,148.9143,2.6333
862.4,143.1714,2.65
847.3429,137.8286,2.6667
831.9143,133.0,2.6833
817.0,129.3429,2.7
802.0,126.6571,2.7167
787.0,124.0,2.7333
772.0,121.0857,2.75
757.0,119.0857,2.7667
741.9143,117.8286,2.7833
727.2571,117.1714,2.8
712.6571,116.8286,2.8167
698.3429,117.1714,2.8333
683.7429,117.9143,2.85
669.0,118.9143,2.8667
654.2571,120.1714,2.8833
639.7429,121.8286,2.9
625.0,124.0857,2.9167
610.3429,127.0,2.9333
595.4,131.1714,2.95
580.5143,135.7429,2.9667
565.9143,139.9143,2.9833
551.7429,144.3429,3.0
537.3429,149.9143,3.0167
522.6571,155.6571,3.0333
508.3429,161.4286,3.05
493.7429,167.8286,3.0667
479.0,174.8286,3.0833
464.2571,182.4286,3.1
449.7429,190.5714,3.1167
435.0857,199.2571,3.1333
419.9143,207.8286,3.15
405.2571,217.1714,3.1667
390.7429,226.8286,3.1833
376.0857,237.1714,3.2
361.0,247.8286,3.2167
346.0,259.0857,3.2333
331.0,271.0857,3.25
315.9143,283.8286,3.2667
301.2571,297.2571,3.2833
286.6571,310.5714,3.3
272.4286,324.5143,3.3167
257.2286,338.4857,3.3333
243.1143,353.3429,3.35
229.5714,368.9143,3.3667
