X,Y,Time
1249,499,10.255231857299805
1212,466,10.363038301467896
1171,435,10.471515893936157
1130,403,10.562849760055542
1091,369,10.654387474060059
1060,354,10.742629289627075
1025,332,10.82557201385498
987,310,10.944815635681152
950,291,11.037070512771606
911,274,11.145633935928345
875,259,11.246857643127441
837,249,11.344449758529663
799,238,11.457923412322998
760,230,11.572506666183472
723,228,11.690584659576416
685,224,11.788800954818726
646,224,11.883036136627197
608,227,11.972726821899414
568,232,12.05822205543518
528,240,12.135379791259766
489,249,12.217594623565674
449,261,12.307123184204102
418,278,12.383853673934937
369,297,12.480509281158447
337,318,12.57778286933899
