X,Y,Time
0.0,0.0,1.635
30.3453,37.4175,1.6683
60.6331,72.4902,1.7017
90.8634,105.2179,1.735
121.0362,135.6009,1.7683
151.1514,163.639,1.8017
181.2092,189.3322,1.835
211.2095,212.6806,1.8683
241.1522,233.6842,1.9017
271.0375,252.3429,1.935
300.8652,268.6568,1.9683
330.6355,282.6258,2.0017
360.3482,294.25,2.035
390.0034,303.5293,2.0683
419.6011,310.4638,2.1017
449.1414,315.0535,2.135
478.6241,317.2983,2.1683
508.0493,317.1982,2.2017
537.4169,314.7534,2.235
566.7271,309.9636,2.2683
595.9798,302.829,2.3017
625.175,293.3496,2.335
654.3127,281.5253,2.3683
683.3928,267.3562,2.4017
712.4155,250.8423,2.435
741.3806,231.9835,2.4683
770.2883,210.7798,2.5017
799.1384,187.2313,2.535
827.931,161.338,2.5683
