X,Y,Time
0.0,0.0,1.635
32.6861,33.8096,1.6683
62.9481,69.0813,1.7017
93.0676,101.8955,1.735
123.1352,132.3613,1.7683
153.241,160.5596,1.8017
183.2047,186.3215,1.835
213.1166,209.735,1.8683
243.0662,230.8599,1.9017
272.8742,249.5695,1.935
302.6303,265.9308,1.9683
332.4237,279.9821,2.0017
362.076,291.6395,2.035
391.6763,300.9484,2.0683
421.3135,307.9263,2.1017
450.8101,312.5314,2.135
480.2547,314.7881,2.1683
509.7357,314.6925,2.2017
539.0765,312.2453,2.235
568.3654,307.4497,2.2683
597.6902,300.2807,2.3017
626.8752,290.7812,2.335
656.0084,278.9333,2.3683
685.177,264.6909,2.4017
714.2063,248.1391,2.435
743.1838,229.2389,2.4683
772.1961,207.923,2.5017
801.0697,184.3189,2.535
829.8914,158.3665,2.5683
