X,Y,Time
0.0,0.0,1.635
28.0,34.0,1.6683
72.0,72.0,1.7017
91.0,102.0,1.735
122.0,132.0,1.7683
152.0,159.0,1.8017
182.0,185.0,1.835
214.0,210.0,1.8683
243.0,230.0,1.9017
273.0,249.0,1.935
303.0,265.0,1.9683
332.0,280.0,2.0017
362.0,291.0,2.035
392.0,301.0,2.0683
421.0,308.0,2.1017
451.0,313.0,2.135
480.0,315.0,2.1683
510.0,315.0,2.2017
539.0,313.0,2.235
569.0,308.0,2.2683
598.0,301.0,2.3017
627.0,292.0,2.335
656.0,279.0,2.3683
685.0,264.0,2.4017
714.0,248.0,2.435
743.0,230.0,2.4683
772.0,208.0,2.5017
800.0,184.0,2.535
831.0,157.0,2.5683
