X,Y,Time
852.6,310.1,1.635
833.0,286.3,1.6683
802.2,259.7,1.7017
788.9,238.7,1.735
767.2,217.7,1.7683
746.2,198.8,1.8017
725.2,180.6,1.835
702.8,163.1,1.8683
682.5,149.1,1.9017
661.5,135.8,1.935
640.5,124.6,1.9683
620.2,114.1,2.0017
599.2,106.4,2.035
578.2,99.4,2.0683
557.9,94.5,2.1017
536.9,91.0,2.135
516.6,89.6,2.1683
495.6,89.6,2.2017
475.3,91.0,2.235
454.3,94.5,2.2683
434.0,99.4,2.3017
413.7,105.7,2.335
393.4,114.8,2.3683
373.1,125.3,2.4017
352.8,136.5,2.435
332.5,149.1,2.4683
312.2,164.5,2.5017
292.6,181.3,2.535
270.9,200.2,2.5683
