X,Y,Time
0.0,0.0,1.635
30.3142,37.3812,1.6683
60.6618,72.524,1.7017
90.8612,105.2179,1.735
121.0033,135.5716,1.7683
151.1782,163.6657,1.8017
181.2055,189.3321,1.835
211.1753,212.6582,1.8683
241.1776,233.7037,1.9017
271.0327,252.3424,1.935
300.8304,268.641,1.9683
330.6601,282.6378,2.0017
360.343,294.2491,2.035
389.9685,303.5201,2.0683
419.6255,310.4682,2.1017
449.1362,315.0519,2.135
478.5897,317.2954,2.1683
508.0739,317.1949,2.2017
537.4125,314.751,2.235
566.6938,309.9669,2.2683
596.0054,302.8177,2.3017
625.1718,293.3463,2.335
654.2809,281.5346,2.3683
683.4199,267.3368,2.4017
712.4141,250.8378,2.435
741.3511,231.9986,2.4683
770.3174,210.7521,2.5017
799.1395,187.2255,2.535
827.9043,161.3588,2.5683
