X,Y,Time
1219.5143,443.6857,1.635
1184.7429,407.0571,1.6683
1152.6857,372.7143,1.7017
1122.7143,340.0571,1.735
1097.2,311.4286,1.7683
1066.0857,283.8286,1.8017
1035.4,257.6571,1.835
1004.7714,233.6857,1.8683
974.5714,212.4857,1.9017
945.0,194.3429,1.935
915.2571,177.5714,1.9683
885.7429,163.5143,2.0017
856.0,151.5714,2.035
826.2571,142.2571,2.0683
796.6571,134.8286,2.1017
767.3429,130.1714,2.135
737.6571,127.9143,2.1683
708.3429,127.9143,2.2017
678.6571,130.1714,2.235
649.2571,134.9143,2.2683
619.9143,141.8286,2.3017
591.0,151.3429,2.335
562.0,163.9143,2.3683
533.0,178.8286,2.4017
504.0,194.9143,2.435
474.9143,213.3429,2.4683
446.4286,234.7429,2.5017
417.1143,258.9714,2.535
387.3714,286.0571,2.5683
