X,Y,Time
569.339,459.0273,0.7333
609.1037,441.6354,0.75
647.8859,424.9758,0.7667
685.6858,409.0485,0.7833
722.5032,393.8535,0.8
758.3382,379.3909,0.8167
793.1908,365.6606,0.8333
827.0609,352.6626,0.85
859.9486,340.3969,0.8667
891.8539,328.8635,0.8833
922.7768,318.0625,0.9
952.7172,307.9937,0.9167
981.6752,298.6573,0.9333
1009.6508,290.0532,0.95
1036.644,282.1815,0.9667
1062.6547,275.042,0.9833
1087.683,268.6349,1.0
1111.7289,262.9601,1.0167
1134.7923,258.0176,1.0333
1156.8734,253.8074,1.05
1177.972,250.3296,1.0667
1198.0881,247.5841,1.0833
1217.2219,245.5709,1.1
1235.3732,244.29,1.1167
1252.5421,243.7414,1.1333
1268.7286,243.9252,1.15
1283.9326,244.8412,1.1667
1298.1543,246.4896,1.185
1311.3935,248.8704,1.2017
1323.6502,251.9834,1.2183
1334.9246,255.8288,1.235
1345.2165,260.4064,1.2517
1354.526,265.7164,1.2683
1362.853,271.7587,1.285
1370.1977,278.5334,1.3017
1376.5599,286.0403,1.3183
1381.9397,294.2796,1.335
1386.337,303.2512,1.3517
1389.752,312.9551,1.3683
1392.1845,323.3914,1.385
1393.6346,334.5599,1.4017
1394.1022,346.4608,1.4183
1393.5875,359.094,1.435
1392.0903,372.4595,1.4517
1389.6106,386.5574,1.4683
1386.1486,401.3875,1.485
1381.7041,416.95,1.5017
1376.2772,433.2448,1.5183
1369.8679,450.2719,1.535
1362.4761,468.0314,1.5517
1354.102,486.5231,1.5683
1344.7454,505.7472,1.585
