X,Y,Time
654.0,446.1143,0.7333
678.0,430.7429,0.75
702.0,416.0857,0.7667
726.0857,402.0857,0.7833
749.7429,388.8286,0.8
773.2571,376.0857,0.8167
797.0,364.0857,0.8333
820.7429,352.8286,0.85
844.3429,342.0857,0.8667
867.6571,332.0857,0.8833
891.3429,322.8286,0.9
914.6571,314.1714,0.9167
938.3429,305.8286,0.9333
961.6571,298.1714,0.95
985.3429,290.8286,0.9667
1008.6571,284.1714,0.9833
1032.2571,277.8286,1.0
1056.0,272.0857,1.0167
1079.7429,267.0857,1.0333
1103.2571,262.8286,1.05
1126.9143,259.1714,1.0667
1151.0,255.8286,1.0833
1175.0857,253.1714,1.1
1198.7429,250.8286,1.1167
1222.2571,249.0857,1.1333
1245.9143,248.0857,1.15
1270.0,247.8286,1.1667
1293.9143,248.1714,1.185
1318.2571,248.8286,1.2017
1342.7429,250.0857,1.2183
1367.0857,252.0857,1.235
1391.0,254.8286,1.2517
1414.9143,258.1714,1.2683
1439.3429,261.9143,1.285
1465.8,265.8286,1.3017
1483.5714,269.9143,1.3183
1484.6,276.6,1.335
1471.6,286.6571,1.3517
1457.3429,299.0857,1.3683
1443.6571,311.8286,1.385
1430.2571,325.0857,1.4017
1417.0,339.0,1.4183
1403.7429,354.0857,1.435
1390.3429,369.8286,1.4517
1376.6571,386.0857,1.4683
1363.3429,403.0857,1.485
1349.7429,420.7429,1.5017
1336.0,439.3429,1.5183
1322.2571,458.7429,1.535
1308.7429,479.0857,1.5517
1294.9714,500.1429,1.5683
1281.0571,521.9143,1.585
