X,Y,Time
0.0,0.0,0.0833
22.0,18.0,0.1
45.0,35.0,0.1167
68.0,53.0,0.1333
92.0,71.0,0.15
115.0,88.0,0.1683
138.0,103.0,0.185
162.0,118.0,0.2017
184.0,133.0,0.2183
208.0,147.0,0.235
231.0,161.0,0.2517
255.0,173.0,0.2683
279.0,186.0,0.285
303.0,198.0,0.3017
327.0,209.0,0.3183
351.0,219.0,0.335
375.0,229.0,0.3517
400.0,238.0,0.3683
423.0,247.0,0.385
447.0,256.0,0.4017
471.0,264.0,0.4183
495.0,270.0,0.435
519.0,277.0,0.4517
543.0,282.0,0.4683
566.0,288.0,0.485
591.0,293.0,0.5017
615.0,298.0,0.5183
639.0,302.0,0.535
662.0,304.0,0.5517
686.0,307.0,0.5683
711.0,309.0,0.585
735.0,310.0,0.6017
759.0,311.0,0.6183
783.0,311.0,0.635
809.0,310.0,0.6517
833.0,309.0,0.6683
857.0,307.0,0.685
881.0,305.0,0.7017
905.0,302.0,0.7183
930.0,299.0,0.735
955.0,294.0,0.7517
979.0,290.0,0.7683
998.0,285.0,0.785
983.0,281.0,0.8017
966.0,276.0,0.8183
951.0,269.0,0.835
936.0,264.0,0.8517
921.0,257.0,0.8683
905.0,250.0,0.885
890.0,242.0,0.9017
875.0,234.0,0.9183
859.0,224.0,0.935
843.0,215.0,0.9517
828.0,204.0,0.9683
813.0,194.0,0.985
797.0,183.0,1.0017
783.0,171.0,1.0183
768.0,158.0,1.035
752.0,145.0,1.0517
738.0,132.0,1.0683
723.0,118.0,1.085
708.0,103.0,1.1017
693.0,87.0,1.1183
679.0,70.0,1.135
664.0,54.0,1.1517
649.0,36.0,1.1683
635.0,18.0,1.185
621.0,-1.0,1.2017
606.0,-21.0,1.2183
592.0,-42.0,1.235
578.0,-63.0,1.2517
564.0,-84.0,1.2683
549.0,-106.0,1.285
537.0,-129.0,1.3017
