X,Y,Time
619,464,0.0833
641,446,0.1
664,429,0.1167
687,411,0.1333
711,393,0.15
734,376,0.1683
757,361,0.185
781,346,0.2017
803,331,0.2183
827,317,0.235
850,303,0.2517
874,291,0.2683
898,278,0.285
922,266,0.3017
946,255,0.3183
970,245,0.335
994,235,0.3517
1019,226,0.3683
1042,217,0.385
1066,208,0.4017
1090,200,0.4183
1114,194,0.435
1138,187,0.4517
1162,182,0.4683
1185,176,0.485
1210,171,0.5017
1234,166,0.5183
1258,162,0.535
1281,160,0.5517
1305,157,0.5683
1330,155,0.585
1354,154,0.6017
1378,153,0.6183
1402,153,0.635
1428,154,0.6517
1452,155,0.6683
1476,157,0.685
1500,159,0.7017
1524,162,0.7183
1549,165,0.735
1574,170,0.7517
1598,174,0.7683
1617,179,0.785
1602,183,0.8017
1585,188,0.8183
1570,195,0.835
1555,200,0.8517
1540,207,0.8683
1524,214,0.885
1509,222,0.9017
1494,230,0.9183
1478,240,0.935
1462,249,0.9517
1447,260,0.9683
1432,270,0.985
1416,281,1.0017
1402,293,1.0183
1387,306,1.035
1371,319,1.0517
1357,332,1.0683
1342,346,1.085
1327,361,1.1017
1312,377,1.1183
1298,394,1.135
1283,410,1.1517
1268,428,1.1683
1254,446,1.185
1240,465,1.2017
1225,485,1.2183
1211,506,1.235
1197,527,1.2517
1183,548,1.2683
1168,570,1.285
1156,593,1.3017
