X,Y,Time
493.7834,461.5554,0.0833
536.3778,443.3432,0.1
578.0307,425.6852,0.1167
618.7422,408.5813,0.1333
658.5122,392.0316,0.15
697.3408,376.0361,0.1683
735.2279,360.5948,0.185
772.1736,345.7076,0.2017
808.1779,331.3746,0.2183
843.2407,317.5958,0.235
877.362,304.3712,0.2517
910.5419,291.7008,0.2683
942.7804,279.5845,0.285
974.0774,268.0225,0.3017
1004.4329,257.0146,0.3183
1033.8471,246.5609,0.335
1062.3197,236.6613,0.3517
1089.8509,227.316,0.3683
1116.4407,218.5248,0.385
1142.089,210.2878,0.4017
1166.7959,202.605,0.4183
1190.5613,195.4763,0.435
1213.3853,188.9019,0.4517
1235.2679,182.8816,0.4683
1256.2089,177.4155,0.485
1276.2086,172.5036,0.5017
1295.2668,168.1458,0.5183
1313.3835,164.3422,0.535
1330.5588,161.0929,0.5517
1346.7927,158.3977,0.5683
1362.0851,156.2566,0.585
1376.436,154.6698,0.6017
1389.8455,153.6371,0.6183
1402.3136,153.1586,0.635
1413.8402,153.2343,0.6517
1424.4254,153.8642,0.6683
1434.0691,155.0482,0.685
1442.7714,156.7865,0.7017
1450.5322,159.0789,0.7183
1457.3516,161.9255,0.735
1463.2295,165.3262,0.7517
1468.166,169.2812,0.7683
1472.161,173.7903,0.785
1475.2146,178.8536,0.8017
1477.3268,184.4711,0.8183
1478.4975,190.6428,0.835
1478.7267,197.3686,0.8517
1478.0145,204.6486,0.8683
1476.3609,212.4829,0.885
1473.7658,220.8712,0.9017
1470.2292,229.8138,0.9183
1465.7512,239.3105,0.935
1460.3318,249.3615,0.9517
1453.9709,259.9666,0.9683
1446.6686,271.1258,0.985
1438.4248,282.8393,1.0017
1429.2396,295.1069,1.0183
1419.1129,307.9288,1.035
1408.0448,321.3048,1.0517
1396.0352,335.2349,1.0683
1383.0842,349.7193,1.085
1369.1918,364.7578,1.1017
1354.3579,380.3505,1.1183
1338.5825,396.4974,1.135
1321.8657,413.1985,1.1517
1304.2074,430.4538,1.1683
1285.6077,448.2632,1.185
1266.0666,466.6268,1.2017
1245.584,485.5446,1.2183
1224.16,505.0166,1.235
1201.7945,525.0427,1.2517
1178.4875,545.6231,1.2683
1154.2392,566.7576,1.285
1129.0493,588.4463,1.3017
