X,Y,Time
618.9714,463.8571,0.0833
641.1143,446.3714,0.1
663.8286,428.7429,0.1167
687.2571,411.0,0.1333
710.7429,393.0,0.15
734.0,376.2571,0.1683
757.3429,360.8286,0.185
780.4,345.9143,0.2017
803.6,331.1714,0.2183
826.5714,316.7429,0.235
850.2571,303.4286,0.2517
873.9143,290.5714,0.2683
898.0,278.1714,0.285
922.0,266.0,0.3017
946.0,255.0857,0.3183
969.9143,244.8286,0.335
994.3429,235.1714,0.3517
1018.4857,225.9143,0.3683
1042.3429,216.9143,0.385
1065.9143,208.0,0.4017
1090.0,200.3429,0.4183
1114.0,193.4857,0.435
1138.0857,187.5143,0.4517
1161.6571,181.5714,0.4683
1185.5143,176.2571,0.485
1209.6571,170.8286,0.5017
1234.1714,166.0,0.5183
1257.7429,162.3429,0.535
1281.1714,159.5714,0.5517
1305.1714,157.1714,0.5683
1329.7429,155.0857,0.585
1354.0857,153.8286,0.6017
1377.8286,153.0857,0.6183
1402.5143,153.0857,0.635
1427.4857,153.8286,0.6517
1452.1714,155.1714,0.6683
1476.0,156.8286,0.685
1499.9143,159.1714,0.7017
1524.1714,161.7429,0.7183
1549.0,165.4286,0.735
1574.2571,169.5714,0.7517
1600.1429,174.3429,0.7683
1611.7714,178.6571,0.785
1604.4,183.0857,0.8017
1585.5143,188.4286,0.8183
1569.8286,194.3143,0.835
1555.0857,200.5143,0.8517
1539.7429,206.7429,0.8683
1524.2571,214.1714,0.885
1509.0,221.7429,0.9017
1493.8286,230.4286,0.9183
1478.0,239.4857,0.935
1462.1714,249.5143,0.9517
1447.0,259.5714,0.9683
1431.6571,270.1714,0.985
1416.5143,281.0,1.0017
1401.7429,293.0857,1.0183
1386.7429,305.9143,1.035
1371.5143,318.9143,1.0517
1356.6571,332.0857,1.0683
1342.0857,346.0,1.085
1326.9143,361.0,1.1017
1312.2571,377.1714,1.1183
1297.7429,393.5714,1.135
1283.0,410.4286,1.1517
1268.1714,427.7429,1.1683
1254.0,446.0857,1.185
1239.7429,465.0,1.2017
1225.2571,485.0857,1.2183
1210.9143,505.9143,1.235
1197.0857,526.9143,1.2517
1182.5714,548.0857,1.2683
1168.8857,570.1429,1.285
1155.6286,592.9143,1.3017
