X,Y,Time
0.0,0.0,2.1167
18.8571,21.8571,2.1333
37.1428,43.1428,2.15
54.9714,63.9428,2.1667
71.5428,83.6571,2.1833
87.7428,105.2857,2.2
102.9428,124.1143,2.2167
119.0,142.1428,2.2333
135.6285,159.2285,2.25
152.6285,177.0857,2.2667
168.3143,194.0285,2.2833
183.8,209.8,2.3
200.3143,225.7143,2.3167
216.3714,239.8857,2.3333
232.6571,253.7714,2.35
248.3714,266.0857,2.3667
264.4,279.2571,2.3833
279.6285,292.0,2.4
295.3143,304.3428,2.4167
310.6285,316.0,2.4333
326.2285,327.3428,2.45
341.9714,338.0,2.4667
357.7143,348.3428,2.4833
373.3143,358.0857,2.5
388.6285,367.0,2.5167
404.4,375.5143,2.5333
419.2857,384.0,2.55
434.8285,392.1714,2.5667
450.3714,399.0857,2.5833
466.0571,405.2571,2.6
481.3143,411.1714,2.6167
496.3714,417.2571,2.6333
511.5714,423.0,2.65
526.6285,428.3428,2.6667
542.0571,433.1714,2.6833
556.9714,436.8285,2.7
571.9714,439.5143,2.7167
586.9714,442.1714,2.7333
601.9714,445.0857,2.75
616.9714,447.0857,2.7667
632.0571,448.3428,2.7833
646.7143,449.0,2.8
661.3143,449.3428,2.8167
675.6285,449.0,2.8333
690.2285,448.2571,2.85
704.9714,447.2571,2.8667
719.7143,446.0,2.8833
734.2285,444.3428,2.9
748.9714,442.0857,2.9167
763.6285,439.1714,2.9333
778.5714,435.0,2.95
793.4571,430.4285,2.9667
808.0571,426.2571,2.9833
822.2285,421.8285,3.0
836.6285,416.2571,3.0167
851.3143,410.5143,3.0333
865.6285,404.7428,3.05
880.2285,398.3428,3.0667
894.9714,391.3428,3.0833
909.7143,383.7428,3.1
924.2285,375.6,3.1167
938.8857,366.9143,3.1333
954.0571,358.3428,3.15
968.7143,349.0,3.1667
983.2285,339.3428,3.1833
997.8857,329.0,3.2
1012.9714,318.3428,3.2167
1027.9714,307.0857,3.2333
1042.9714,295.0857,3.25
1058.0571,282.3428,3.2667
1072.7143,268.9143,3.2833
1087.3143,255.6,3.3
1101.5428,241.6571,3.3167
1116.7428,227.6857,3.3333
1130.8571,212.8285,3.35
1144.4,197.2571,3.3667
