X,Y,Time
0.0,0.0,2.1167
19.0,21.0,2.1333
37.0,44.0,2.15
55.0,63.0,2.1667
72.0,84.0,2.1833
87.0,104.0,2.2
104.0,126.0,2.2167
118.0,140.0,2.2333
136.0,160.0,2.25
153.0,177.0,2.2667
168.0,193.0,2.2833
184.0,211.0,2.3
200.0,224.0,2.3167
217.0,241.0,2.3333
232.0,253.0,2.35
249.0,266.0,2.3667
264.0,279.0,2.3833
280.0,292.0,2.4
295.0,304.0,2.4167
311.0,316.0,2.4333
326.0,327.0,2.45
342.0,338.0,2.4667
358.0,348.0,2.4833
373.0,358.0,2.5
389.0,367.0,2.5167
404.0,375.0,2.5333
420.0,384.0,2.55
434.0,392.0,2.5667
451.0,399.0,2.5833
466.0,405.0,2.6
481.0,411.0,2.6167
497.0,417.0,2.6333
511.0,423.0,2.65
527.0,428.0,2.6667
542.0,433.0,2.6833
557.0,437.0,2.7
572.0,439.0,2.7167
587.0,442.0,2.7333
602.0,445.0,2.75
617.0,447.0,2.7667
632.0,448.0,2.7833
647.0,449.0,2.8
661.0,449.0,2.8167
676.0,449.0,2.8333
690.0,448.0,2.85
705.0,447.0,2.8667
720.0,446.0,2.8833
734.0,444.0,2.9
749.0,442.0,2.9167
764.0,439.0,2.9333
778.0,435.0,2.95
794.0,430.0,2.9667
808.0,426.0,2.9833
822.0,422.0,3.0
837.0,416.0,3.0167
851.0,410.0,3.0333
866.0,405.0,3.05
880.0,398.0,3.0667
895.0,391.0,3.0833
910.0,384.0,3.1
924.0,375.0,3.1167
939.0,367.0,3.1333
954.0,358.0,3.15
969.0,349.0,3.1667
983.0,339.0,3.1833
998.0,329.0,3.2
1013.0,318.0,3.2167
1028.0,307.0,3.2333
1043.0,295.0,3.25
1058.0,282.0,3.2667
1073.0,269.0,3.2833
1087.0,255.0,3.3
1102.0,242.0,3.3167
1116.0,227.0,3.3333
1132.0,213.0,3.35
1144.0,197.0,3.3667
