X,Y,Time
0.0,0.0,2.1167
16.0323,20.4033,2.1333
32.1345,40.4427,2.15
48.2098,59.9939,2.1667
64.1624,78.9442,2.1833
80.1842,97.5218,2.2
96.1793,115.6111,2.2167
112.052,133.1083,2.2333
127.9936,150.2241,2.25
143.9084,166.8516,2.2667
159.7013,182.8957,2.2833
175.5626,198.5496,2.3
191.3971,213.7153,2.3167
207.1102,228.3063,2.3333
222.8913,242.4984,2.35
238.6455,256.2022,2.3667
254.2788,269.3401,2.3833
269.9796,282.0704,2.4
285.6535,294.3124,2.4167
301.207,305.9972,2.4333
316.8275,317.2657,2.45
332.4211,328.0458,2.4667
347.8948,338.2776,2.4833
363.435,348.0842,2.5
378.9484,357.4025,2.5167
394.3423,366.1812,2.5333
409.8022,374.5259,2.55
425.2353,382.3824,2.5667
440.5494,389.708,2.5833
455.929,396.5909,2.6
471.2818,402.9856,2.6167
486.5161,408.8581,2.6333
501.8155,414.2792,2.65
517.088,419.212,2.6667
532.2425,423.6314,2.6833
547.4615,427.5907,2.7
562.6538,431.0617,2.7167
577.7285,434.028,2.7333
592.8673,436.5254,2.75
607.9792,438.5345,2.7667
622.9741,440.0478,2.7833
638.0326,441.0834,2.8
653.0643,441.6307,2.8167
667.9794,441.6909,2.8333
682.9576,441.2646,2.85
697.909,440.3501,2.8667
712.7443,438.9572,2.8833
727.6422,437.0691,2.9
742.5133,434.6927,2.9167
757.2688,431.8467,2.9333
772.0865,428.4968,2.95
786.8773,424.6586,2.9667
801.553,420.3595,2.9833
816.2903,415.5477,3.0
831.0009,410.2477,3.0167
845.5968,404.4955,3.0333
860.2539,398.2219,3.05
874.8841,391.4601,3.0667
889.4002,384.2548,3.0833
903.977,376.5194,3.1
918.527,368.2957,3.1167
932.9633,359.6373,3.1333
947.4598,350.4401,3.15
961.9295,340.7545,3.1667
976.286,330.6431,3.1833
990.7022,319.984,3.2
1005.0916,308.8366,3.2167
1019.3683,297.2721,3.2333
1033.7043,285.1512,3.25
1048.0134,272.542,3.2667
1062.2103,259.5244,3.2833
1076.466,245.9416,3.3
1090.6948,231.8705,3.3167
1104.8119,217.3999,3.3333
1118.9873,202.3553,3.35
1133.1359,186.8224,3.3667
