X,Y,Time
1365.6888,557.727,2.1167
1349.6565,537.3237,2.1333
1333.5543,517.2843,2.15
1317.479,497.7331,2.1667
1301.5264,478.7828,2.1833
1285.5046,460.2052,2.2
1269.5095,442.1159,2.2167
1253.6368,424.6187,2.2333
1237.6952,407.5029,2.25
1221.7804,390.8754,2.2667
1205.9875,374.8313,2.2833
1190.1262,359.1774,2.3
1174.2917,344.0117,2.3167
1158.5786,329.4207,2.3333
1142.7975,315.2286,2.35
1127.0433,301.5248,2.3667
1111.41,288.3869,2.3833
1095.7092,275.6566,2.4
1080.0353,263.4146,2.4167
1064.4818,251.7298,2.4333
1048.8613,240.4613,2.45
1033.2677,229.6812,2.4667
1017.794,219.4494,2.4833
1002.2538,209.6428,2.5
986.7404,200.3245,2.5167
971.3465,191.5458,2.5333
955.8866,183.2011,2.55
940.4535,175.3446,2.5667
925.1394,168.019,2.5833
909.7598,161.1361,2.6
894.407,154.7414,2.6167
879.1727,148.8689,2.6333
863.8733,143.4478,2.65
848.6008,138.515,2.6667
833.4463,134.0956,2.6833
818.2273,130.1363,2.7
803.035,126.6653,2.7167
787.9603,123.699,2.7333
772.8215,121.2016,2.75
757.7096,119.1925,2.7667
742.7147,117.6792,2.7833
727.6562,116.6436,2.8
712.6245,116.0963,2.8167
697.7094,116.0361,2.8333
682.7312,116.4624,2.85
667.7798,117.3769,2.8667
652.9445,118.7698,2.8833
638.0466,120.6579,2.9
623.1755,123.0343,2.9167
608.42,125.8803,2.9333
593.6023,129.2302,2.95
578.8115,133.0684,2.9667
564.1358,137.3675,2.9833
549.3985,142.1793,3.0
534.6879,147.4793,3.0167
520.092,153.2315,3.0333
505.4349,159.5051,3.05
490.8047,166.2669,3.0667
476.2886,173.4722,3.0833
461.7118,181.2076,3.1
447.1618,189.4313,3.1167
432.7255,198.0897,3.1333
418.229,207.2869,3.15
403.7593,216.9725,3.1667
389.4028,227.0839,3.1833
374.9866,237.743,3.2
360.5972,248.8904,3.2167
346.3205,260.4549,3.2333
331.9845,272.5758,3.25
317.6754,285.185,3.2667
303.4785,298.2026,3.2833
289.2228,311.7854,3.3
274.994,325.8565,3.3167
260.8769,340.3271,3.3333
246.7015,355.3717,3.35
232.5529,370.9046,3.3667
