X,Y,Time
1480,349,0.3167
1459,339,0.3333
1437,328,0.35
1414,320,0.3667
1391,311,0.3833
1368,304,0.4
1346,297,0.4167
1323,290,0.4333
1301,284,0.45
1279,279,0.4667
1256,274,0.4833
1234,270,0.5
1212,268,0.5167
1190,265,0.5333
1169,264,0.55
1147,263,0.5667
1126,263,0.5833
1105,263,0.6
1083,264,0.6167
1062,266,0.6333
1041,268,0.65
1028,272,0.6667
1014,277,0.6833
1000,283,0.7
986,289,0.7167
972,295,0.7333
959,303,0.75
945,311,0.7667
931,320,0.7833
917,329,0.8
904,339,0.8167
891,349,0.8333
877,360,0.85
863,372,0.8667
850,384,0.8833
837,397,0.9
824,412,0.9167
811,426,0.9333
798,441,0.95
785,456,0.9667
773,472,0.9833
759,488,1.0
746,505,1.0167
733,523,1.0333
720,541,1.05
708,560,1.0667
695,580,1.0833
683,600,1.1
671,621,1.1167
658,643,1.1333
645,665,1.15
633,688,1.1683
626,688,1.185
620,672,1.2017
613,657,1.2183
607,642,1.235
601,628,1.2517
595,614,1.2683
588,601,1.285
583,589,1.3017
577,576,1.3183
571,565,1.335
565,554,1.3517
560,544,1.3683
553,535,1.385
547,526,1.4017
541,517,1.4183
535,509,1.435
529,501,1.4517
523,495,1.4683
517,489,1.485
511,483,1.5017
505,479,1.5183
499,474,1.535
493,471,1.5517
487,469,1.5683
480,467,1.585
475,465,1.6017
469,464,1.6183
463,463,1.635
457,464,1.6517
451,465,1.6683
445,467,1.685
440,469,1.7017
434,473,1.7183
429,477,1.735
422,481,1.7517
417,487,1.7683
411,492,1.785
406,499,1.8017
400,505,1.8183
395,513,1.835
389,522,1.8517
385,529,1.8683
379,540,1.885
373,549,1.9017
368,560,1.9183
