X,Y,Time
1453.082,193.0586,0.3167
1431.8891,202.7029,0.3333
1410.9133,212.2083,0.35
1390.1545,221.5749,0.3667
1369.6127,230.8027,0.3833
1349.288,239.8916,0.4
1329.1803,248.8417,0.4167
1309.2895,257.6529,0.4333
1289.6159,266.3253,0.45
1270.1592,274.8588,0.4667
1250.9196,283.2535,0.4833
1231.897,291.5093,0.5
1213.0914,299.6263,0.5167
1194.5028,307.6044,0.5333
1176.1313,315.4437,0.55
1157.9767,323.1442,0.5667
1140.0392,330.7058,0.5833
1122.3188,338.1285,0.6
1104.8153,345.4124,0.6167
1087.5289,352.5575,0.6333
1070.4595,359.5637,0.65
1053.6071,366.4311,0.6667
1036.9718,373.1596,0.6833
1020.5534,379.7493,0.7
1004.3521,386.2001,0.7167
988.3678,392.5121,0.7333
972.6006,398.6852,0.75
957.0503,404.7195,0.7667
941.7171,410.6149,0.7833
926.6009,416.3715,0.8
911.7018,421.9893,0.8167
897.0196,427.4682,0.8333
882.5545,432.8082,0.85
868.3064,438.0094,0.8667
854.2754,443.0718,0.8833
840.4613,447.9953,0.9
826.8643,452.78,0.9167
813.4843,457.4258,0.9333
800.3213,461.9328,0.95
787.3753,466.3009,0.9667
774.6464,470.5302,0.9833
762.1345,474.6206,1.0
749.8396,478.5722,1.0167
737.7618,482.385,1.0333
725.9009,486.0589,1.05
714.2571,489.5939,1.0667
702.8303,492.9901,1.0833
691.6206,496.2475,1.1
680.6278,499.366,1.1167
669.8521,502.3457,1.1333
659.2934,505.1865,1.15
648.9517,507.8884,1.1683
638.8271,510.4516,1.185
628.9195,512.8758,1.2017
619.2289,515.1613,1.2183
609.7553,517.3079,1.235
600.4987,519.3156,1.2517
591.4592,521.1845,1.2683
582.6367,522.9145,1.285
574.0312,524.5057,1.3017
565.6427,525.9581,1.3183
557.4713,527.2716,1.335
549.5169,528.4463,1.3517
541.7795,529.4821,1.3683
534.2591,530.379,1.385
526.9558,531.1371,1.4017
519.8695,531.7564,1.4183
513.0002,532.2368,1.435
506.3479,532.5784,1.4517
499.9126,532.7812,1.4683
493.6944,532.845,1.485
487.6932,532.7701,1.5017
481.909,532.5563,1.5183
476.3419,532.2036,1.535
470.9918,531.7121,1.5517
465.8586,531.0818,1.5683
460.9426,530.3126,1.585
456.2435,529.4046,1.6017
451.7615,528.3577,1.6183
447.4965,527.1719,1.635
443.4485,525.8474,1.6517
439.6175,524.3839,1.6683
436.0035,522.7817,1.685
432.6066,521.0405,1.7017
429.4267,519.1606,1.7183
426.4639,517.1418,1.735
423.718,514.9841,1.7517
421.1892,512.6876,1.7683
418.8774,510.2523,1.785
416.7826,507.6781,1.8017
414.9048,504.965,1.8183
413.2441,502.1131,1.835
411.8004,499.1224,1.8517
410.5737,495.9928,1.8683
409.5641,492.7244,1.885
408.7714,489.3171,1.9017
408.1958,485.771,1.9183
