X,Y,Time
1480.0857,349.1143,0.3167
1458.8571,338.5429,0.3333
1436.9143,328.6857,0.35
1414.0857,319.4,0.3667
1390.9143,311.4286,0.3833
1368.2571,303.8286,0.4
1345.6571,296.9143,0.4167
1323.2571,290.0857,0.4333
1301.0,284.0857,0.45
1278.7429,278.8286,0.4667
1256.2571,274.0,0.4833
1233.9143,270.3429,0.5
1211.9143,267.4857,0.5167
1190.2571,265.4286,0.5333
1168.6571,263.7429,0.55
1147.2571,263.1714,0.5667
1126.0,262.8286,0.5833
1104.7429,263.0857,0.6
1083.2571,264.0857,0.6167
1061.2286,265.7429,0.6333
1042.4571,268.2571,0.65
1027.1429,271.9143,0.6667
1014.0857,277.0857,0.6833
1000.0,282.9143,0.7
985.9143,288.8286,0.7167
972.2571,295.3429,0.7333
958.7429,302.7429,0.75
945.0857,311.1714,0.7667
930.9143,319.8286,0.7833
917.1714,329.1714,0.8
904.0,338.8286,0.8167
890.8286,349.0857,0.8333
877.0,360.0857,0.85
863.1714,371.8286,0.8667
849.9143,384.0,0.8833
837.0,397.3429,0.9
824.0,411.5714,0.9167
811.0,426.2571,0.9333
797.9143,440.8286,0.95
785.3429,456.1714,0.9667
772.4857,471.8286,0.9833
759.3429,488.0857,1.0
745.9143,505.0857,1.0167
732.9143,522.8286,1.0333
720.2571,541.0857,1.05
707.6571,560.0857,1.0667
695.2571,579.8286,1.0833
683.0,600.0857,1.1
670.8286,621.0857,1.1167
658.0,642.8286,1.1333
644.7429,667.1429,1.15
633.6857,685.3429,1.1683
625.8286,687.1429,1.185
619.6571,673.5429,1.2017
613.2571,656.8286,1.2183
606.9143,642.1714,1.235
601.0857,627.8286,1.2517
594.6571,614.0857,1.2683
588.5143,601.1714,1.285
582.6571,588.5714,1.3017
577.0857,576.4286,1.3183
570.9143,564.7429,1.335
565.3429,554.0857,1.3517
559.4857,544.0857,1.3683
553.3429,534.9143,1.385
546.9143,525.9143,1.4017
541.0,517.1714,1.4183
535.0,508.7429,1.435
529.0,501.3429,1.4517
523.0,494.8286,1.4683
517.0,488.8286,1.485
511.0,483.4286,1.5017
505.0,478.4857,1.5183
499.0,474.3429,1.535
493.0857,471.0,1.5517
486.6571,468.9143,1.5683
480.5143,466.9143,1.585
474.6571,465.1714,1.6017
469.0857,463.7429,1.6183
463.0,463.3429,1.635
457.0,463.7429,1.6517
450.9143,465.1714,1.6683
445.2571,466.7429,1.685
439.6571,469.3429,1.7017
434.4286,472.8286,1.7183
428.4,476.8286,1.735
422.6,481.4286,1.7517
416.5714,486.4857,1.7683
411.3429,492.5143,1.785
405.6571,498.4857,1.8017
400.3429,505.3429,1.8183
394.5714,513.1714,1.835
389.6,521.2286,1.8517
384.4857,530.0286,1.8683
379.0857,539.1429,1.885
373.5429,549.1714,1.9017
367.7143,560.0571,1.9183
