X,Y,Time
359,468,1.0017
381,448,1.0183
403,433,1.035
427,416,1.0517
449,401,1.0683
471,387,1.085
493,372,1.1017
515,358,1.1183
537,345,1.135
559,333,1.1517
581,321,1.1683
603,312,1.185
625,302,1.2017
647,293,1.2183
668,284,1.235
690,276,1.2517
712,269,1.2683
734,262,1.285
756,256,1.3017
777,251,1.3183
799,247,1.335
820,242,1.3517
841,239,1.3683
863,236,1.385
885,234,1.4017
906,233,1.4183
927,232,1.435
952,232,1.4517
960,232,1.4683
973,233,1.485
986,235,1.5017
998,237,1.5183
1010,241,1.535
1024,244,1.5517
1036,248,1.5683
1049,252,1.585
1062,257,1.6017
1075,263,1.6183
1087,269,1.635
1100,277,1.6517
1113,285,1.6683
1126,293,1.685
1138,302,1.7017
1151,312,1.7183
1164,323,1.735
1176,334,1.7517
1190,346,1.7683
1201,358,1.785
1214,370,1.8017
1227,384,1.8183
1239,397,1.835
1252,413,1.8517
1264,428,1.8683
1277,444,1.885
1290,460,1.9017
1302,478,1.9183
1316,496,1.935
1327,514,1.9517
1339,531,1.9683
1353,551,1.985
1365,571,2.0017
1377,591,2.0183
1390,612,2.035
1404,635,2.0517
1416,657,2.0683
1428,680,2.085
1435,673,2.1017
1442,656,2.1183
1450,639,2.135
1457,623,2.1517
1463,607,2.1683
