X,Y,Time
0.0,0.0,1.0017
-21.0,18.0,1.0183
-44.0,35.0,1.035
-66.0,51.0,1.0517
-89.0,66.0,1.0683
-111.0,81.0,1.085
-1190.0,147.0,1.085
-133.0,95.0,1.1017
-1161.0,158.0,1.1017
-155.0,108.0,1.1183
-1133.0,169.0,1.1183
-177.0,121.0,1.135
-1105.0,178.0,1.135
-199.0,133.0,1.1517
-1077.0,187.0,1.1517
-221.0,145.0,1.1683
-1050.0,195.0,1.1683
-243.0,155.0,1.185
-1022.0,203.0,1.185
-265.0,165.0,1.2017
-995.0,210.0,1.2017
-287.0,174.0,1.2183
-967.0,216.0,1.2183
-309.0,183.0,1.235
-941.0,222.0,1.235
-330.0,191.0,1.2517
-913.0,226.0,1.2517
-352.0,198.0,1.2683
-886.0,231.0,1.2683
-374.0,205.0,1.285
-859.0,234.0,1.285
-396.0,210.0,1.3017
-833.0,237.0,1.3017
-417.0,215.0,1.3183
-806.0,239.0,1.3183
-439.0,220.0,1.335
-779.0,240.0,1.335
-460.0,224.0,1.3517
-753.0,241.0,1.3517
-482.0,227.0,1.3683
-727.0,241.0,1.3683
-503.0,230.0,1.385
-701.0,240.0,1.385
-525.0,232.0,1.4017
-676.0,239.0,1.4017
-546.0,233.0,1.4183
-650.0,237.0,1.4183
-567.0,234.0,1.435
-624.0,235.0,1.435
-588.0,234.0,1.4517
-600.0,234.0,1.4683
-668.0,227.0,1.4683
-612.0,233.0,1.485
-719.0,220.0,1.485
-625.0,231.0,1.5017
-769.0,213.0,1.5017
-638.0,229.0,1.5183
-818.0,206.0,1.5183
-651.0,226.0,1.535
-867.0,198.0,1.535
-664.0,223.0,1.5517
-914.0,191.0,1.5517
-676.0,219.0,1.5683
-961.0,182.0,1.5683
-689.0,214.0,1.585
-1008.0,173.0,1.585
-702.0,209.0,1.6017
-1053.0,163.0,1.6017
-715.0,203.0,1.6183
-1098.0,153.0,1.6183
-727.0,196.0,1.635
-1142.0,142.0,1.635
-740.0,189.0,1.6517
-753.0,182.0,1.6683
-1228.0,120.0,1.6683
-765.0,173.0,1.685
-778.0,164.0,1.7017
-791.0,154.0,1.7183
-803.0,144.0,1.735
-816.0,133.0,1.7517
-829.0,121.0,1.7683
-842.0,109.0,1.785
-854.0,96.0,1.8017
-867.0,83.0,1.8183
-879.0,69.0,1.835
-892.0,55.0,1.8517
-904.0,39.0,1.8683
-917.0,23.0,1.885
-930.0,7.0,1.9017
