X,Y,Time
1551,321,1.085
1521,309,1.1017
1493,298,1.1183
1465,288,1.135
1438,280,1.1517
1410,271,1.1683
1382,264,1.185
1355,257,1.2017
1327,251,1.2183
1300,245,1.235
1273,240,1.2517
1246,236,1.2683
1219,233,1.285
1192,230,1.3017
1166,228,1.3183
1139,227,1.335
1113,226,1.3517
1087,226,1.3683
1061,226,1.385
1035,228,1.4017
1010,230,1.4183
984,232,1.435
1028,240,1.4683
1079,247,1.485
1129,254,1.5017
1178,261,1.5183
1227,268,1.535
1274,276,1.5517
1321,285,1.5683
1367,294,1.585
1413,304,1.6017
1458,314,1.6183
