X,Y,Time
0.0,0.0,1.0017
-8.9585,8.9094,1.0183
-17.8442,17.6125,1.035
-26.657,26.1093,1.0517
-35.397,34.3999,1.0683
-44.0641,42.4842,1.085
-52.6583,50.3622,1.085
-61.1797,58.0339,1.1017
-69.6283,65.4993,1.1017
-78.004,72.7585,1.1183
-86.3069,79.8113,1.1183
-94.5368,86.6579,1.135
-102.694,93.2983,1.135
-110.7783,99.7323,1.1517
-118.7897,105.9601,1.1517
-126.7283,111.9815,1.1683
-134.594,117.7967,1.1683
-142.3869,123.4057,1.185
-150.1069,128.8083,1.185
-157.7541,134.0047,1.2017
-165.3284,138.9947,1.2017
-172.8299,143.7785,1.2183
-180.2585,148.3561,1.2183
-187.6142,152.7273,1.235
-194.8971,156.8923,1.235
-202.1072,160.8509,1.2517
-209.2444,164.6033,1.2517
-216.3087,168.1495,1.2683
-223.3002,171.4893,1.2683
-230.2189,174.6229,1.285
-237.0646,177.5502,1.285
-243.8376,180.2712,1.3017
-250.5377,182.7859,1.3017
-257.1649,185.0943,1.3183
-263.7192,187.1965,1.3183
-270.2008,189.0924,1.335
-276.6094,190.782,1.335
-282.9452,192.2653,1.3517
-289.2082,193.5424,1.3517
-295.3983,194.6131,1.3683
-301.5155,195.4776,1.3683
-307.5599,196.1358,1.385
-313.5315,196.5877,1.385
-319.4302,196.8334,1.4017
-325.256,196.8728,1.4017
-331.009,196.7058,1.4183
-336.6891,196.3326,1.4183
-342.2964,195.7532,1.435
-347.8308,194.9674,1.435
-353.2924,193.9754,1.4517
-358.6811,192.7771,1.4683
-363.997,191.3725,1.4683
-369.24,189.7616,1.485
-374.4102,187.9445,1.485
-379.5075,185.921,1.5017
-384.5319,183.6913,1.5017
-389.4835,181.2553,1.5183
-394.3623,178.6131,1.5183
-399.1682,175.7645,1.535
-403.9012,172.7097,1.535
-408.5614,169.4486,1.5517
-413.1487,165.9812,1.5517
-417.6632,162.3075,1.5683
-422.1048,158.4276,1.5683
-426.4736,154.3414,1.585
-430.7695,150.0489,1.585
-434.9926,145.5501,1.6017
-439.1428,140.845,1.6017
-443.2201,135.9337,1.6183
-447.2246,130.816,1.6183
-451.1563,125.4921,1.635
-455.0151,119.9619,1.635
-458.801,114.2255,1.6517
-462.5141,108.2827,1.6683
-466.1544,102.1337,1.6683
-469.7218,95.7784,1.685
-473.2163,89.2168,1.7017
-476.638,82.449,1.7183
-479.9868,75.4748,1.735
-483.2628,68.2944,1.7517
-486.4659,60.9077,1.7683
-489.5962,53.3147,1.785
-492.6536,45.5154,1.8017
-495.6381,37.5099,1.8183
-498.5498,29.2981,1.835
-501.3887,20.88,1.8517
-504.1547,12.2556,1.8683
-506.8478,3.4249,1.885
-509.4681,-5.612,1.9017
