X,Y,Time
0.0,0.0,1.0017
-21.6571,18.0,1.0183
-43.7428,35.0,1.035
-66.5143,50.9143,1.0517
1.6857,61.7143,1.0683
-475.5428,99.8571,1.085
-554.6857,112.5429,1.085
-848.0285,134.5143,1.1017
-463.7143,119.2571,1.1017
-835.4,146.0571,1.1183
-470.0857,131.8,1.1183
-823.1143,157.0857,1.135
-476.3714,143.0286,1.135
-810.8285,166.9429,1.1517
-482.5714,154.1714,1.1517
-798.8857,176.7143,1.1683
-489.3428,164.1429,1.1683
-786.9428,185.1714,1.185
-495.4571,173.6,1.185
-775.0,193.5429,1.2017
-502.2285,182.3143,1.2017
-763.0571,200.7429,1.2183
-508.2571,190.2857,1.2183
-751.5428,207.7714,1.235
-515.1714,198.1714,1.235
-739.4571,213.7143,1.2517
-520.8571,204.3143,1.2517
-727.6,218.9143,1.2683
-527.5428,210.9429,1.2683
-716.0,224.0286,1.285
-534.0571,215.8286,1.285
-704.8285,227.4857,1.3017
-540.8,220.2857,1.3017
-693.0857,230.7714,1.3183
-546.9714,224.3429,1.3183
-681.6571,233.4571,1.335
-553.1428,227.6571,1.335
-669.9143,235.4,1.3517
-559.8,230.4571,1.3517
-659.1714,236.6,1.3683
-566.3714,232.5143,1.3683
-647.7714,237.2857,1.385
-572.8571,233.8286,1.385
-637.3714,237.2286,1.4017
-579.9143,234.6286,1.4017
-626.4,236.4286,1.4183
-586.0571,234.6,1.4183
-615.1714,235.4571,1.435
-592.1143,234.2286,1.435
-599.5714,234.9429,1.4517
-616.2857,231.6,1.4683
-628.1428,231.4571,1.4683
-667.9714,226.5714,1.485
-650.3428,228.2286,1.485
-706.7714,221.0571,1.5017
-674.9714,224.6571,1.5017
-744.8,215.7143,1.5183
-699.2,220.8286,1.5183
-782.4857,209.5429,1.535
-723.6857,216.0857,1.535
-819.5714,203.5429,1.5517
-746.8571,211.7429,1.5517
-855.4,196.8,1.5683
-770.2,205.6571,1.5683
-891.8,188.9714,1.585
-794.0571,199.4857,1.585
-927.4285,180.9714,1.6017
-816.9428,192.4857,1.6017
-962.4571,172.2286,1.6183
-839.7428,184.9714,1.6183
-996.5714,162.7429,1.635
-899.1714,172.2571,1.635
-841.7428,175.8,1.6517
-877.2,167.3429,1.6683
-986.9714,149.7429,1.6683
-927.1714,152.6,1.685
-737.4571,169.1429,1.7017
-790.9143,154.1714,1.7183
-803.4285,143.9143,1.735
-816.0857,132.9143,1.7517
-829.2571,121.1714,1.7683
-841.9143,108.8286,1.785
-854.5143,96.1714,1.8017
-866.8285,82.8286,1.8183
-879.5143,69.2571,1.835
-891.8285,54.6571,1.8517
-904.4285,39.1714,1.8683
-917.2,23.2857,1.885
-930.1143,6.8286,1.9017
