Time,X,Y,velocityX,velocityY,accelerationY,pos_X_teorica,vel_X_teorica,pos_Y_teorica,vel_Y_teorica,acc_Y_teorica
0.3167,5.808671,1.969715,0.0,0.0,0.0,5.808671,0.0,1.969715,0.0,-9.81
0.3333,5.695279,2.02049,-6.830845,3.058723,0.0,5.701483,-6.457081,2.014808,2.634992,-9.81
0.35,5.582465,2.067989,-6.755337,2.844242,-12.8431,5.59365,-6.457081,2.057444,2.471165,-9.81
0.3667,5.470228,2.112212,-6.720761,2.648107,-11.7446,5.485817,-6.457081,2.097345,2.307338,-9.81
0.3833,5.358568,2.15316,-6.726493,2.466713,-10.9274,5.378629,-6.457081,2.134295,2.144492,-9.81
0.4,5.247486,2.190832,-6.651609,2.255807,-12.6291,5.270796,-6.457081,2.16874,1.980665,-9.81
0.4167,5.136981,2.225228,-6.617063,2.059671,-11.7446,5.162963,-6.457081,2.200449,1.816838,-9.81
0.4333,5.027054,2.256349,-6.622141,1.874733,-11.1409,5.055775,-6.457081,2.229257,1.653992,-9.81
0.45,4.917704,2.284194,-6.547911,1.667371,-12.4168,4.947942,-6.457081,2.255511,1.490165,-9.81
0.4667,4.808931,2.308763,-6.513336,1.471207,-11.7464,4.840109,-6.457081,2.279028,1.326338,-9.81
0.4833,4.700736,2.330057,-6.517788,1.282782,-11.3509,4.732921,-6.457081,2.299694,1.163492,-9.81
0.5,4.593118,2.348075,-6.444184,1.078906,-12.2081,4.625088,-6.457081,2.317756,0.999665,-9.81
0.5167,4.486077,2.362818,-6.409637,0.8828,-11.7429,4.517255,-6.457081,2.333083,0.835838,-9.81
0.5333,4.379614,2.374285,-6.413436,0.690772,-11.568,4.410067,-6.457081,2.345606,0.672992,-9.81
0.55,4.273728,2.382475,-6.340486,0.490471,-11.9941,4.302234,-6.457081,2.355477,0.509165,-9.81
0.5667,4.16842,2.387391,-6.305881,0.294365,-11.7429,4.194401,-6.457081,2.362612,0.345338,-9.81
0.5833,4.063688,2.389031,-6.309113,0.098792,-11.7815,4.087213,-6.457081,2.366993,0.182492,-9.81
0.6,3.959534,2.387395,-6.236758,-0.097965,-11.7818,3.97938,-6.457081,2.368673,0.018665,-9.81
0.6167,3.855958,2.382484,-6.202183,-0.2941,-11.7446,3.871547,-6.457081,2.367617,-0.145162,-9.81
0.6333,3.752959,2.374297,-6.204761,-0.493189,-11.9933,3.764359,-6.457081,2.363855,-0.308008,-9.81
0.65,3.650537,2.362834,-6.133031,-0.686371,-11.5678,3.656526,-6.457081,2.357344,-0.471835,-9.81
0.6667,3.548693,2.348096,-6.098485,-0.882536,-11.7464,3.548693,-6.457081,2.348096,-0.635662,-9.81
