Time,X,Y,velocityX,velocityY,accelerationY,pos_X_teorica,vel_X_teorica,pos_Y_teorica,vel_Y_teorica,acc_Y_teorica
0.6833,3.509356,2.325707,0.0,0.0,0.0,3.509356,0.0,2.325707,0.0,-9.81
0.7,3.440783,2.297406,-4.106201,-1.694714,0.0,3.444639,-3.875272,2.294423,-1.955204,-9.81
0.7167,3.372516,2.266155,-4.087825,-1.871327,-10.5756,3.379922,-3.875272,2.260404,-2.119031,-9.81
0.7333,3.304556,2.231954,-4.093993,-2.060277,-11.3825,3.315593,-3.875272,2.223876,-2.281877,-9.81
0.75,3.236902,2.194804,-4.051132,-2.224524,-9.8351,3.250876,-3.875272,2.184401,-2.445704,-9.81
0.7667,3.169555,2.154705,-4.032756,-2.401166,-10.5774,3.186159,-3.875272,2.14219,-2.609531,-9.81
0.7833,3.102515,2.111656,-4.038564,-2.593279,-11.573,3.121829,-3.875272,2.09752,-2.772377,-9.81
0.8,3.03578,2.065658,-3.996064,-2.754392,-9.6475,3.057112,-3.875272,2.049853,-2.936204,-9.81
0.8167,2.969353,2.016711,-3.977688,-2.930976,-10.5739,2.992395,-3.875272,1.999451,-3.100031,-9.81
0.8333,2.903232,1.964814,-3.983164,-3.126309,-11.7671,2.928065,-3.875272,1.946638,-3.262877,-9.81
0.85,2.837418,1.909968,-3.940966,-3.284202,-9.4546,2.863348,-3.875272,1.89078,-3.426704,-9.81
0.8667,2.771911,1.852172,-3.92262,-3.460815,-10.5756,2.798631,-3.875272,1.832187,-3.590531,-9.81
0.8833,2.70671,1.791427,-3.927763,-3.65934,-11.9594,2.734302,-3.875272,1.771232,-3.753377,-9.81
0.9,2.641815,1.727733,-3.885897,-3.814041,-9.2635,2.669585,-3.875272,1.707183,-3.917204,-9.81
0.9167,2.577227,1.661089,-3.867551,-3.990654,-10.5756,2.604868,-3.875272,1.640398,-4.081031,-9.81
0.9333,2.512946,1.591496,-3.872363,-4.192341,-12.1498,2.540538,-3.875272,1.571301,-4.243877,-9.81
0.95,2.448972,1.518953,-3.8308,-4.34388,-9.0742,2.475821,-3.875272,1.49906,-4.407704,-9.81
0.9667,2.385303,1.443461,-3.812483,-4.520464,-10.5739,2.411104,-3.875272,1.424083,-4.571531,-9.81
0.9833,2.321941,1.36502,-3.816963,-4.725402,-12.3457,2.346775,-3.875272,1.346844,-4.734377,-9.81
1.0,2.258887,1.283629,-3.775731,-4.87369,-8.8795,2.282058,-3.875272,1.266412,-4.898204,-9.81
1.0167,2.196138,1.199289,-3.757385,-5.050303,-10.5756,2.217341,-3.875272,1.183244,-5.062031,-9.81
1.0333,2.133696,1.112,-3.761563,-5.258403,-12.5362,2.153011,-3.875272,1.097863,-5.224877,-9.81
1.05,2.071561,1.021761,-3.720663,-5.403529,-8.6902,2.088294,-3.875272,1.00924,-5.388704,-9.81
1.0667,2.009733,0.928572,-3.702316,-5.580141,-10.5756,2.023577,-3.875272,0.91788,-5.552531,-9.81
1.0833,1.94821,0.832435,-3.706163,-5.791404,-12.7267,1.959247,-3.875272,0.824357,-5.715377,-9.81
1.1,1.886995,0.733348,-3.665594,-5.933367,-8.5008,1.89453,-3.875272,0.727542,-5.879204,-9.81
1.1167,1.826086,0.631311,-3.647248,-6.10998,-10.5756,1.829813,-3.875272,0.627991,-6.043031,-9.81
1.1333,1.765484,0.526325,-3.650733,-6.324435,-12.9189,1.765484,-3.875272,0.526325,-6.205877,-9.81
