Time,X,Y,velocityX,velocityY,accelerationY,pos_X_teorica,vel_X_teorica,pos_Y_teorica,vel_Y_teorica,acc_Y_teorica
0.0833,0.401387,1.268214,0.0,0.0,0.0,0.401387,0.0,1.268214,0.0,-9.81
0.1,0.48637,1.341233,5.088797,4.372423,0.0,0.484114,4.9537,1.338755,4.1421,-9.81
0.1167,0.571201,1.411364,5.079713,4.199482,-10.3557,0.56684,4.9537,1.40656,3.978273,-9.81
0.1333,0.655881,1.478607,5.101228,4.050771,-8.9585,0.649072,4.9537,1.471248,3.815427,-9.81
0.15,0.74041,1.542962,5.061597,3.853548,-11.8098,0.731799,4.9537,1.533597,3.6516,-9.81
0.1667,0.824788,1.604427,5.052566,3.680554,-10.3589,0.814525,4.9537,1.593211,3.487773,-9.81
0.1833,0.909014,1.663004,5.073864,3.528744,-9.1452,0.896757,4.9537,1.649756,3.324927,-9.81
0.2,0.993089,1.718693,5.034424,3.334647,-11.6226,0.979484,4.9537,1.703915,3.1611,-9.81
0.2167,1.077012,1.771493,5.025367,3.16168,-10.3573,1.06221,4.9537,1.755337,2.997273,-9.81
0.2333,1.160785,1.821404,5.046528,3.00669,-9.3367,1.144442,4.9537,1.80374,2.834427,-9.81
0.25,1.244405,1.868427,5.007225,2.815745,-11.4338,1.227169,4.9537,1.849707,2.6706,-9.81
0.2667,1.327875,1.912561,4.998194,2.642778,-10.3573,1.309895,4.9537,1.892938,2.506773,-9.81
0.2833,1.411193,1.953807,5.019164,2.48469,-9.5234,1.392127,4.9537,1.933199,2.343927,-9.81
0.3,1.49436,1.992164,4.980052,2.296818,-11.2498,1.474854,4.9537,1.970975,2.1801,-9.81
0.3167,1.577376,2.027632,4.970994,2.123877,-10.3557,1.55758,4.9537,2.006014,2.016273,-9.81
0.3333,1.66024,2.060213,4.991828,1.962663,-9.7117,1.639812,4.9537,2.038133,1.853427,-9.81
0.35,1.742953,2.089904,4.952879,1.777917,-11.0626,1.722539,4.9537,2.067717,1.6896,-9.81
0.3667,1.825515,2.116707,4.943821,1.604976,-10.3557,1.805265,4.9537,2.094566,1.525773,-9.81
0.3833,1.907925,2.140621,4.964465,1.440635,-9.9,1.887497,4.9537,2.118542,1.362927,-9.81
0.4,1.990184,2.161647,4.925706,1.259042,-10.8739,1.970224,4.9537,2.139935,1.1991,-9.81
0.4167,2.072292,2.179785,4.916622,1.086048,-10.3589,2.05295,4.9537,2.158592,1.035273,-9.81
0.4333,2.154248,2.195033,4.937128,0.918608,-10.0867,2.135182,4.9537,2.174426,0.872427,-9.81
0.45,2.236053,2.207394,4.898507,0.740141,-10.6867,2.217909,4.9537,2.187627,0.7086,-9.81
0.4667,2.317707,2.216865,4.889449,0.567147,-10.3589,2.300635,4.9537,2.198093,0.544773,-9.81
0.4833,2.39921,2.223448,4.909791,0.396581,-10.2751,2.382867,4.9537,2.205785,0.381927,-9.81
0.5,2.480561,2.227143,4.871307,0.221213,-10.5011,2.465594,4.9537,2.210795,0.2181,-9.81
0.5167,2.561761,2.227949,4.862276,0.048272,-10.3557,2.54832,4.9537,2.213069,0.054273,-9.81
0.5333,2.642809,2.225866,4.882428,-0.125446,-10.465,2.630552,4.9537,2.212618,-0.108573,-9.81
0.55,2.723706,2.220895,4.844134,-0.297688,-10.3139,2.713279,4.9537,2.209437,-0.2724,-9.81
0.5667,2.804452,2.213035,4.835076,-0.470629,-10.3557,2.796005,4.9537,2.20352,-0.436227,-9.81
0.5833,2.885046,2.202287,4.855091,-0.647473,-10.6533,2.878237,4.9537,2.194927,-0.599073,-9.81
0.6,2.96549,2.18865,4.816961,-0.816589,-10.1267,2.960964,4.9537,2.183555,-0.7629,-9.81
0.6167,3.045781,2.172125,4.807877,-0.98953,-10.3557,3.04369,4.9537,2.169446,-0.926727,-9.81
0.6333,3.125922,2.152711,4.827755,-1.169527,-10.8432,3.125922,4.9537,2.152711,-1.089573,-9.81
