Time,X,Y,velocityX,velocityY,accelerationY,pos_X_teorica,vel_X_teorica,pos_Y_teorica,vel_Y_teorica,acc_Y_teorica
0.7167,2.322627,2.257963,0.0,0.0,0.0,2.322627,0.0,2.257963,0.0,-9.81
0.7333,2.119798,2.279525,-12.218596,1.298931,0.0,2.135314,-11.283885,2.277227,1.079058,-9.81
0.75,1.918614,2.298116,-12.046932,1.113221,-11.1203,1.946873,-11.283885,2.293879,0.915231,-9.81
0.7667,1.719075,2.313735,-11.948433,0.935263,-10.6562,1.758432,-11.283885,2.307795,0.751404,-9.81
0.7833,1.521181,2.326382,-11.921346,0.761894,-10.4439,1.57112,-11.283885,2.318917,0.588558,-9.81
0.8,1.324932,2.336058,-11.751462,0.579374,-10.9294,1.382679,-11.283885,2.327378,0.424731,-9.81
0.8167,1.130327,2.342762,-11.652963,0.401442,-10.6546,1.194238,-11.283885,2.333103,0.260904,-9.81
0.8333,0.937368,2.346494,-11.624069,0.224857,-10.6377,1.006926,-11.283885,2.336083,0.098058,-9.81
0.85,0.746053,2.347255,-11.455965,0.045552,-10.7368,0.818485,-11.283885,2.336352,-0.065769,-9.81
0.8667,0.556383,2.345044,-11.357493,-0.132406,-10.6562,0.630044,-11.283885,2.333886,-0.229596,-9.81
0.8833,0.368358,2.339861,-11.326819,-0.312207,-10.8314,0.442731,-11.283885,2.328723,-0.392442,-9.81
0.9,0.181977,2.331707,-11.160495,-0.488269,-10.5426,0.254291,-11.283885,2.320801,-0.556269,-9.81
0.9167,-0.002758,2.320581,-11.061996,-0.666227,-10.6562,0.06585,-11.283885,2.310144,-0.720096,-9.81
0.9333,-0.185849,2.306484,-11.029569,-0.849244,-11.0251,-0.121463,-11.283885,2.296838,-0.882942,-9.81
0.95,-0.367295,2.289414,-10.865025,-1.022117,-10.3517,-0.309904,-11.283885,2.280725,-1.046769,-9.81
0.9667,-0.547096,2.269374,-10.766526,-1.200048,-10.6546,-0.498345,-11.283885,2.261876,-1.210596,-9.81
0.9833,-0.725252,2.246361,-10.732293,-1.386281,-11.2188,-0.685657,-11.283885,2.240429,-1.373442,-9.81
1.0,-0.901763,2.220377,-10.569529,-1.555938,-10.1591,-0.874098,-11.283885,2.216124,-1.537269,-9.81
1.0167,-1.07663,2.191422,-10.471056,-1.733869,-10.6546,-1.062539,-11.283885,2.189084,-1.701096,-9.81
1.0333,-1.249851,2.159494,-10.435043,-1.923344,-11.4142,-1.249851,-11.283885,2.159494,-1.863942,-9.81
