Time,X,Y,X_nuevo_origen,Y_nuevo_origen,X_nuevo_origen_suavizado,Y_nuevo_origen_suavizado
0.3167,1481,348,1181,402,1183.0287,401.164
0.3333,1460,339,1160,411,1159.9346,411.5051
0.35,1438,328,1138,422,1136.9582,421.179
0.3667,1414,319,1114,431,1114.0994,430.1858
0.3833,1392,312,1092,438,1091.3581,438.5254
0.4,1369,305,1069,445,1068.7345,446.1979
0.4167,1347,298,1047,452,1046.2284,453.2033
0.4333,1324,292,1024,458,1023.8399,459.5415
0.45,1302,285,1002,465,1001.569,465.2126
0.4667,1279,280,979,470,979.4157,470.2165
0.4833,1257,275,957,475,957.38,474.5534
0.5,1236,270,936,480,935.4619,478.223
0.5167,1215,266,915,484,913.6613,481.2256
0.5333,1192,266,892,484,891.9784,483.561
0.55,1170,266,870,484,870.413,485.2292
0.5667,1149,265,849,485,848.9653,486.2304
0.5833,1127,264,827,486,827.6351,486.5644
0.6,1106,264,806,486,806.4225,486.2312
0.6167,1084,264,784,486,785.3275,485.2309
0.6333,1063,266,763,484,764.3501,483.5635
0.65,1038,268,738,482,743.4903,481.229
0.6667,1030,273,730,477,722.748,478.2273
