X,Y,Time
1014.7365,276.3325,0.6833
1000.7704,282.0966,0.7
986.8668,288.4614,0.7167
973.0256,295.4269,0.7333
959.2468,302.993,0.75
945.5305,311.1599,0.7667
931.8767,319.9274,0.7833
918.2852,329.2957,0.8
904.7562,339.2646,0.8167
891.2897,349.8342,0.8333
877.8856,361.0045,0.85
864.5439,372.7755,0.8667
851.2647,385.1472,0.8833
838.0479,398.1196,0.9
824.8935,411.6927,0.9167
811.8016,425.8664,0.9333
798.7722,440.6409,0.95
785.8051,456.016,0.9667
772.9005,471.9919,0.9833
760.0584,488.5684,1.0
747.2787,505.7456,1.0167
734.5614,523.5235,1.0333
721.9066,541.9021,1.05
709.3142,560.8814,1.0667
696.7842,580.4613,1.0833
684.3167,600.642,1.1
671.9116,621.4234,1.1167
659.569,642.8054,1.1333
