X,Y,Time,choque,X_nuevo_origen,Y_nuevo_origen
1481,348,0.3167,antes,1181,402
1460,339,0.3333,antes,1160,411
1438,328,0.35,antes,1138,422
1414,319,0.3667,antes,1114,431
1392,312,0.3833,antes,1092,438
1369,305,0.4,antes,1069,445
1347,298,0.4167,antes,1047,452
1324,292,0.4333,antes,1024,458
1302,285,0.45,antes,1002,465
1279,280,0.4667,antes,979,470
1257,275,0.4833,antes,957,475
1236,270,0.5,antes,936,480
1215,266,0.5167,antes,915,484
1192,266,0.5333,antes,892,484
1170,266,0.55,antes,870,484
1149,265,0.5667,antes,849,485
1127,264,0.5833,antes,827,486
1106,264,0.6,antes,806,486
1084,264,0.6167,antes,784,486
1063,266,0.6333,antes,763,484
1038,268,0.65,antes,738,482
1030,273,0.6667,antes,730,477
1015,276,0.6833,despues,715,474
1001,283,0.7,despues,701,467
987,289,0.7167,despues,687,461
973,295,0.7333,despues,673,455
959,303,0.75,despues,659,447
945,311,0.7667,despues,645,439
931,320,0.7833,despues,631,430
918,330,0.8,despues,618,420
905,339,0.8167,despues,605,411
892,349,0.8333,despues,592,401
879,360,0.85,despues,579,390
864,373,0.8667,despues,564,377
851,384,0.8833,despues,551,366
839,397,0.9,despues,539,353
823,412,0.9167,despues,523,338
812,426,0.9333,despues,512,324
799,441,0.95,despues,499,309
786,457,0.9667,despues,486,293
774,473,0.9833,despues,474,277
761,490,1.0,despues,461,260
747,506,1.0167,despues,447,244
734,523,1.0333,despues,434,227
721,542,1.05,despues,421,208
709,561,1.0667,despues,409,189
697,580,1.0833,despues,397,170
684,600,1.1,despues,384,150
672,621,1.1167,despues,372,129
660,643,1.1333,despues,360,107
