X,Y,Time,choque
391,463,0.0833,antes
411,446,0.1,antes
429,430,0.1167,antes
448,415,0.1333,antes
468,400,0.15,antes
487,386,0.1667,antes
507,373,0.1833,antes
525,360,0.2,antes
544,348,0.2167,antes
563,337,0.2333,antes
582,326,0.25,antes
601,316,0.2667,antes
620,307,0.2833,antes
639,298,0.3,antes
658,290,0.3167,antes
677,282,0.3333,antes
695,276,0.35,antes
714,270,0.3667,antes
733,265,0.3833,antes
751,260,0.4,antes
770,256,0.4167,antes
788,252,0.4333,antes
807,249,0.45,antes
825,248,0.4667,antes
845,246,0.4833,antes
863,246,0.5,antes
881,245,0.5167,antes
899,246,0.5333,antes
917,247,0.55,antes
935,248,0.5667,antes
954,250,0.5833,antes
973,254,0.6,antes
991,257,0.6167,antes
1009,261,0.6333,antes
826,238,0.7167,despues
781,233,0.7333,despues
735,229,0.75,despues
690,225,0.7667,despues
645,223,0.7833,despues
601,220,0.8,despues
557,219,0.8167,despues
513,218,0.8333,despues
469,218,0.85,despues
425,218,0.8667,despues
383,219,0.8833,despues
341,221,0.9,despues
299,224,0.9167,despues
258,227,0.9333,despues
217,231,0.95,despues
176,235,0.9667,despues
136,241,0.9833,despues
96,247,1.0,despues
56,253,1.0167,despues
16,260,1.0333,despues
