Time,X,Y,X_nuevo_origen,Y_nuevo_origen,X_nuevo_origen_suavizado,Y_nuevo_origen_suavizado
0.0833,391,463,91,287,91.0174,287.5768
0.1,411,446,111,304,110.2879,304.1345
0.1167,429,430,129,320,129.524,320.0373
0.1333,448,415,148,335,148.7259,335.2851
0.15,468,400,168,350,167.8934,349.8779
0.1667,487,386,187,364,187.0267,363.8156
0.1833,507,373,207,377,206.1256,377.0984
0.2,525,360,225,390,225.1902,389.7262
0.2167,544,348,244,402,244.2205,401.699
0.2333,563,337,263,413,263.2165,413.0167
0.25,582,326,282,424,282.1781,423.6795
0.2667,601,316,301,434,301.1055,433.6873
0.2833,620,307,320,443,319.9985,443.0401
0.3,639,298,339,452,338.8572,451.7378
0.3167,658,290,358,460,357.6816,459.7806
0.3333,677,282,377,468,376.4717,467.1684
0.35,695,276,395,474,395.2275,473.9011
0.3667,714,270,414,480,413.949,479.9789
0.3833,733,265,433,485,432.6361,485.4017
0.4,751,260,451,490,451.289,490.1695
0.4167,770,256,470,494,469.9075,494.2822
0.4333,788,252,488,498,488.4917,497.74
0.45,807,249,507,501,507.0416,500.5428
0.4667,825,248,525,502,525.5572,502.6905
0.4833,845,246,545,504,544.0385,504.1833
0.5,863,246,563,504,562.4854,505.021
0.5167,881,245,581,505,580.8981,505.2038
0.5333,899,246,599,504,599.2764,504.7316
0.55,917,247,617,503,617.6204,503.6043
0.5667,935,248,635,502,635.9301,501.8221
0.5833,954,250,654,500,654.2055,499.3849
0.6,973,254,673,496,672.4466,496.2926
0.6167,991,257,691,493,690.6533,492.5454
0.6333,1009,261,709,489,708.8258,488.1431
