Time,X,Y,X_nuevo_origen,Y_nuevo_origen,X_nuevo_origen_suavizado,Y_nuevo_origen_suavizado
0.7167,826,238,526,512,526.6727,512.0097
0.7333,781,233,481,517,480.6798,516.8991
0.75,735,229,435,521,435.0599,521.1147
0.7667,690,225,390,525,389.813,524.6564
0.7833,645,223,345,527,344.939,527.5243
0.8,601,220,301,530,300.438,529.7183
0.8167,557,219,257,531,256.31,531.2385
0.8333,513,218,213,532,212.555,532.0849
0.85,469,218,169,532,169.173,532.2574
0.8667,425,218,125,532,126.1639,531.756
0.8833,383,219,83,531,83.5278,530.5808
0.9,341,221,41,529,41.2647,528.7318
0.9167,299,224,-1,526,-0.6254,526.2089
0.9333,258,227,-42,523,-42.1426,523.0122
0.95,217,231,-83,519,-83.2868,519.1416
0.9667,176,235,-124,515,-124.058,514.5972
0.9833,136,241,-164,509,-164.4562,509.379
1.0,96,247,-204,503,-204.4814,503.4869
1.0167,56,253,-244,497,-244.1337,496.921
1.0333,16,260,-284,490,-283.413,489.6812
