X,Y,Time
943.6,228.2,1.1754
919.8,205.8,1.2087
884.1,175.7,1.2421
872.2,165.9,1.2754
819.7,60.9,1.3421
793.1,112.0,1.3754
782.6,106.4,1.4087
738.5,85.4,1.4421
728.0,81.2,1.4754
716.8,77.7,1.5087
695.8,71.4,1.5421
664.3,64.4,1.5754
653.8,62.3,1.6087
622.3,60.2,1.6421
611.8,60.2,1.6754
581.0,63.0,1.7087
571.2,64.4,1.7421
540.4,72.1,1.7754
529.9,75.6,1.8087
499.1,87.5,1.8421
489.3,92.4,1.8754
458.5,109.2,1.9087
448.0,115.5,1.9421
416.5,137.2,1.9754
406.7,144.9,2.0087
375.2,170.8,2.0421
364.7,180.6,2.0754
295.4,148.4,2.2754
417.9,248.5,2.5087
424.2,256.9,2.5421
444.5,282.1,2.5754
450.8,291.9,2.6087
471.1,322.7,2.6421
477.4,333.9,2.6754
497.7,370.3,2.7087
504.0,383.6,2.7421
