X,Y,Time
1374,359,2.5
1357,342,2.5167
1341,325,2.5333
1324,309,2.55
1308,294,2.5667
1291,279,2.5833
1275,265,2.6
1259,252,2.6167
1243,239,2.6333
1227,227,2.65
1210,216,2.6667
1195,204,2.6833
1148,175,2.7333
1132,167,2.75
1116,159,2.7667
1101,151,2.7833
1085,144,2.8
1070,138,2.8167
1055,132,2.8333
1039,127,2.85
1024,123,2.8667
1009,119,2.8833
994,116,2.9
979,113,2.9167
964,111,2.9333
949,109,2.95
934,108,2.9667
919,108,2.9833
904,108,3.0
889,108,3.0167
874,109,3.0333
859,111,3.05
844,113,3.0667
830,116,3.0833
815,120,3.1
800,124,3.1167
786,128,3.1333
771,133,3.15
757,139,3.1667
742,145,3.1833
727,152,3.2
713,159,3.2167
698,167,3.2333
684,175,3.25
670,184,3.2667
655,194,3.2833
641,204,3.3
627,215,3.3167
613,226,3.3333
598,237,3.35
584,250,3.3667
570,263,3.3833
556,276,3.4
