X,Y,Time
0.0,0.0,2.5
16.7143,17.3714,2.5167
33.2858,34.0286,2.5333
49.6,50.0286,2.55
66.2858,65.2857,2.5667
82.6858,80.0286,2.5833
99.0286,94.0286,2.6
114.9429,107.2857,2.6167
130.8572,120.0286,2.6333
147.2858,131.9429,2.65
160.7715,141.9143,2.6667
187.2572,159.7429,2.6833
217.8858,179.0572,2.7333
244.6858,193.9143,2.75
257.6858,200.2,2.7667
273.2858,208.0286,2.7833
288.6858,215.0286,2.8
303.9429,221.2857,2.8167
319.2,227.0286,2.8333
334.6858,232.0286,2.85
350.0286,236.2857,2.8667
364.9429,239.9429,2.8833
379.9429,243.2857,2.9
394.9429,245.9429,2.9167
409.9429,248.2857,2.9333
424.9429,250.0286,2.95
439.9429,251.0286,2.9667
454.9429,251.2,2.9833
469.9429,251.2,3.0
484.9429,251.0286,3.0167
499.9429,250.0286,3.0333
515.0286,248.2857,3.05
529.6858,246.0286,3.0667
544.2,243.0286,3.0833
558.9429,239.2,3.1
573.6858,235.2,3.1167
588.2858,231.0286,3.1333
602.6,226.0286,3.15
617.2,220.2857,3.1667
631.9429,213.9429,3.1833
646.6858,207.2857,3.2
661.2858,199.9429,3.2167
675.6858,192.2857,3.2333
689.9429,184.0286,3.25
704.2,175.0286,3.2667
718.6858,165.2857,3.2833
733.0286,154.9429,3.3
746.8572,144.2,3.3167
761.2,133.2857,3.3333
775.6858,121.7714,3.35
790.0286,109.2857,3.3667
804.0858,96.4,3.3833
817.8572,82.9429,3.4
