X,Y,Time
1378.089,357.0759,2.5
1359.5952,339.5635,2.5167
1341.2113,322.6818,2.5333
1322.9373,306.4307,2.55
1304.7732,290.8103,2.5667
1286.719,275.8206,2.5833
1268.7747,261.4616,2.6
1250.9404,247.7332,2.6167
1233.2159,234.6355,2.6333
1215.6014,222.1685,2.65
1198.0968,210.3321,2.6667
1180.7021,199.1264,2.6833
1163.4173,188.5514,2.7333
1146.2424,178.607,2.75
1129.1774,169.2934,2.7667
1112.2223,160.6103,2.7833
1095.3772,152.558,2.8
1078.6419,145.1363,2.8167
1062.0166,138.3453,2.8333
1045.5011,132.1849,2.85
1029.0956,126.6553,2.8667
1012.8,121.7562,2.8833
996.6143,117.4879,2.9
980.5385,113.8502,2.9167
964.5727,110.8432,2.9333
948.7167,108.4669,2.95
932.9706,106.7212,2.9667
917.3345,105.6062,2.9833
901.8083,105.1219,3.0
886.3919,105.2682,3.0167
871.0855,106.0452,3.0333
855.889,107.4529,3.05
840.8024,109.4912,3.0667
825.8258,112.1603,3.0833
810.959,115.4599,3.1
796.2021,119.3903,3.1167
781.5552,123.9513,3.1333
767.0182,129.143,3.15
752.591,134.9653,3.1667
738.2738,141.4184,3.1833
724.0665,148.5021,3.2
709.9691,156.2164,3.2167
695.9816,164.5614,3.2333
682.1041,173.5371,3.25
668.3364,183.1435,3.2667
654.6787,193.3805,3.2833
641.1308,204.2482,3.3
627.6929,215.7466,3.3167
614.3649,227.8757,3.3333
601.1468,240.6354,3.35
588.0386,254.0257,3.3667
575.0403,268.0468,3.3833
562.1519,282.6985,3.4
