X,Y,Time
1373.9429,359.1143,2.5
1357.2286,341.7429,2.5167
1340.6571,325.0857,2.5333
1324.3429,309.0857,2.55
1307.6571,293.8286,2.5667
1291.2571,279.0857,2.5833
1274.9143,265.0857,2.6
1259.0,251.8286,2.6167
1243.0857,239.0857,2.6333
1226.6571,227.1714,2.65
1213.1714,217.2,2.6667
1186.6857,199.3714,2.6833
1156.0571,180.0571,2.7333
1129.2571,165.2,2.75
1116.2571,158.9143,2.7667
1100.6571,151.0857,2.7833
1085.2571,144.0857,2.8
1070.0,137.8286,2.8167
1054.7429,132.0857,2.8333
1039.2571,127.0857,2.85
1023.9143,122.8286,2.8667
1009.0,119.1714,2.8833
994.0,115.8286,2.9
979.0,113.1714,2.9167
964.0,110.8286,2.9333
949.0,109.0857,2.95
934.0,108.0857,2.9667
919.0,107.9143,2.9833
904.0,107.9143,3.0
889.0,108.0857,3.0167
874.0,109.0857,3.0333
858.9143,110.8286,3.05
844.2571,113.0857,3.0667
829.7429,116.0857,3.0833
815.0,119.9143,3.1
800.2571,123.9143,3.1167
785.6571,128.0857,3.1333
771.3429,133.0857,3.15
756.7429,138.8286,3.1667
742.0,145.1714,3.1833
727.2571,151.8286,3.2
712.6571,159.1714,3.2167
698.2571,166.8286,3.2333
684.0,175.0857,3.25
669.7429,184.0857,3.2667
655.2571,193.8286,3.2833
640.9143,204.1714,3.3
627.0857,214.9143,3.3167
612.7429,225.8286,3.3333
598.2571,237.3429,3.35
583.9143,249.8286,3.3667
569.8571,262.7143,3.3833
556.0857,276.1714,3.4
