X,Y,Time
0.0,0.0,2.5017
11.9,12.25,2.5183
23.45,23.8,2.535
35.0,34.65,2.5517
46.55,45.5,2.5683
58.1,55.65,2.585
69.3,65.45,2.6017
80.85,74.9,2.6183
92.05,83.65,2.635
103.25,92.4,2.6517
114.45,100.45,2.6683
125.3,108.15,2.685
158.55,128.45,2.735
169.4,134.75,2.7517
180.6,140.35,2.7683
191.1,145.25,2.785
201.95,150.15,2.8017
212.8,154.35,2.8183
223.65,158.55,2.835
234.15,162.05,2.8517
245.0,165.2,2.8683
255.5,168.0,2.885
266.35,170.1,2.9017
276.85,172.2,2.9183
287.35,173.6,2.935
297.85,175.0,2.9517
308.35,175.7,2.9683
318.85,176.05,2.985
329.35,176.05,3.0017
339.85,175.35,3.0183
350.0,174.65,3.035
360.5,173.6,3.0517
370.65,171.85,3.0683
381.15,170.1,3.085
391.3,167.65,3.1017
401.8,164.85,3.1183
411.95,161.7,3.135
422.1,158.2,3.1517
432.25,154.35,3.1683
442.4,149.8,3.185
452.55,145.25,3.2017
462.7,140.0,3.2183
472.85,134.4,3.235
483.0,128.8,3.2517
493.15,122.5,3.2683
502.95,115.85,3.285
513.1,108.5,3.3017
522.9,101.15,3.3183
533.05,93.45,3.335
543.2,85.05,3.3517
553.0,76.3,3.3683
562.8,67.2,3.385
572.95,58.1,3.4017
