X,Y,Time
0.0,0.0,2.5
16.2756,16.6019,2.5167
32.4107,32.5372,2.5333
48.5996,47.9976,2.55
64.7451,62.8857,2.5667
80.7507,77.1172,2.5833
96.8094,90.8638,2.6
112.8246,104.038,2.6167
128.7008,116.5659,2.6333
144.6293,128.5986,2.65
160.5143,140.0588,2.6667
176.261,150.8831,2.6833
223.4314,180.0689,2.7333
239.0994,188.6738,2.75
254.7239,196.7063,2.7667
270.2118,204.1233,2.7833
285.7496,211.0143,2.8
301.244,217.3329,2.8167
316.6024,223.0463,2.8333
332.01,228.2234,2.85
347.3741,232.828,2.8667
362.6031,236.8378,2.8833
377.8805,240.301,2.9
393.1143,243.1918,2.9167
408.2139,245.4979,2.9333
423.3611,247.2472,2.95
438.4647,248.4241,2.9667
453.4348,249.0266,2.9833
468.4518,249.062,3.0
483.4252,248.525,3.0167
498.2659,247.4238,3.0333
513.1526,245.7453,3.05
527.9958,243.4944,3.0667
542.707,240.6896,3.0833
557.4635,237.2973,3.1
572.1765,233.3324,3.1167
586.7583,228.824,3.1333
601.3846,223.7178,3.15
615.9674,218.039,3.1667
630.4197,211.827,3.1833
644.9158,205.0068,3.2
659.3684,197.6142,3.2167
673.6913,189.6986,3.2333
688.0571,181.1645,3.25
702.3794,172.058,3.2667
716.5729,162.4387,3.2833
730.8085,152.1907,3.3
745.0006,141.3703,3.3167
759.0647,130.0474,3.3333
773.1701,118.0855,3.35
787.232,105.5512,3.3667
801.1666,92.5246,3.3833
815.1417,78.8489,3.4
