X,Y,Time
0.0,0.0,2.5
17.0,17.0,2.5167
33.0,34.0,2.5333
50.0,50.0,2.55
66.0,65.0,2.5667
83.0,80.0,2.5833
99.0,94.0,2.6
115.0,107.0,2.6167
131.0,120.0,2.6333
147.0,132.0,2.65
164.0,143.0,2.6667
179.0,155.0,2.6833
226.0,184.0,2.7333
242.0,192.0,2.75
258.0,200.0,2.7667
273.0,208.0,2.7833
289.0,215.0,2.8
304.0,221.0,2.8167
319.0,227.0,2.8333
335.0,232.0,2.85
350.0,236.0,2.8667
365.0,240.0,2.8833
380.0,243.0,2.9
395.0,246.0,2.9167
410.0,248.0,2.9333
425.0,250.0,2.95
440.0,251.0,2.9667
455.0,251.0,2.9833
470.0,251.0,3.0
485.0,251.0,3.0167
500.0,250.0,3.0333
515.0,248.0,3.05
530.0,246.0,3.0667
544.0,243.0,3.0833
559.0,239.0,3.1
574.0,235.0,3.1167
588.0,231.0,3.1333
603.0,226.0,3.15
617.0,220.0,3.1667
632.0,214.0,3.1833
647.0,207.0,3.2
661.0,200.0,3.2167
676.0,192.0,3.2333
690.0,184.0,3.25
704.0,175.0,3.2667
719.0,165.0,3.2833
733.0,155.0,3.3
747.0,144.0,3.3167
761.0,133.0,3.3333
776.0,122.0,3.35
790.0,109.0,3.3667
804.0,96.0,3.3833
818.0,83.0,3.4
