X,Y,Time
961.8,251.3,2.5
949.9,239.4,2.5167
938.7,227.5,2.5333
926.8,216.3,2.55
915.6,205.8,2.5667
903.7,195.3,2.5833
892.5,185.5,2.6
881.3,176.4,2.6167
870.1,167.3,2.6333
858.9,158.9,2.65
847.0,151.2,2.6667
836.5,142.8,2.6833
803.6,122.5,2.7333
792.4,116.9,2.75
781.2,111.3,2.7667
770.7,105.7,2.7833
759.5,100.8,2.8
749.0,96.6,2.8167
738.5,92.4,2.8333
727.3,88.9,2.85
716.8,86.1,2.8667
706.3,83.3,2.8833
695.8,81.2,2.9
685.3,79.1,2.9167
674.8,77.7,2.9333
664.3,76.3,2.95
653.8,75.6,2.9667
643.3,75.6,2.9833
632.8,75.6,3.0
622.3,75.6,3.0167
611.8,76.3,3.0333
601.3,77.7,3.05
590.8,79.1,3.0667
581.0,81.2,3.0833
570.5,84.0,3.1
560.0,86.8,3.1167
550.2,89.6,3.1333
539.7,93.1,3.15
529.9,97.3,3.1667
519.4,101.5,3.1833
508.9,106.4,3.2
499.1,111.3,3.2167
488.6,116.9,3.2333
478.8,122.5,3.25
469.0,128.8,3.2667
458.5,135.8,3.2833
448.7,142.8,3.3
438.9,150.5,3.3167
429.1,158.2,3.3333
418.6,165.9,3.35
408.8,175.0,3.3667
399.0,184.1,3.3833
389.2,193.2,3.4
