X,Y,Time
0.0,0.0,2.5
18.4938,17.5124,2.5167
36.8777,34.3941,2.5333
55.1517,50.6452,2.55
73.3158,66.2656,2.5667
91.37,81.2553,2.5833
109.3143,95.6143,2.6
127.1486,109.3427,2.6167
144.8731,122.4404,2.6333
162.4876,134.9074,2.65
179.9922,146.7438,2.6667
197.3869,157.9495,2.6833
214.6717,168.5245,2.7333
231.8466,178.4689,2.75
248.9116,187.7825,2.7667
265.8667,196.4656,2.7833
282.7118,204.5179,2.8
299.4471,211.9396,2.8167
316.0724,218.7306,2.8333
332.5879,224.891,2.85
348.9934,230.4206,2.8667
365.289,235.3197,2.8833
381.4747,239.588,2.9
397.5505,243.2257,2.9167
413.5163,246.2327,2.9333
429.3723,248.609,2.95
445.1184,250.3547,2.9667
460.7545,251.4697,2.9833
476.2807,251.954,3.0
491.6971,251.8077,3.0167
507.0035,251.0307,3.0333
522.2,249.623,3.05
537.2866,247.5847,3.0667
552.2632,244.9156,3.0833
567.13,241.616,3.1
581.8869,237.6856,3.1167
596.5338,233.1246,3.1333
611.0708,227.9329,3.15
625.498,222.1106,3.1667
639.8152,215.6575,3.1833
654.0225,208.5738,3.2
668.1199,200.8595,3.2167
682.1074,192.5145,3.2333
695.9849,183.5388,3.25
709.7526,173.9324,3.2667
723.4103,163.6954,3.2833
736.9582,152.8277,3.3
750.3961,141.3293,3.3167
763.7241,129.2002,3.3333
776.9422,116.4405,3.35
790.0504,103.0502,3.3667
803.0487,89.0291,3.3833
815.9371,74.3774,3.4
