X,Y,Time
1372.2427,356.6499,2.5
1355.9441,340.0172,2.5167
1339.7868,324.0523,2.5333
1323.5763,308.563,2.55
1307.41,293.647,2.5667
1291.3843,279.3887,2.5833
1275.3062,265.616,2.6
1259.2722,252.4168,2.6167
1243.3781,239.8649,2.6333
1227.4323,227.809,2.65
1211.5307,216.3265,2.6667
1195.7681,205.4811,2.6833
1148.5543,176.2372,2.7333
1132.8732,167.6148,2.75
1117.2362,159.5658,2.7667
1101.7368,152.1332,2.7833
1086.188,145.2275,2.8
1070.6834,138.8953,2.8167
1055.3154,133.1691,2.8333
1039.899,127.9802,2.85
1024.5268,123.3647,2.8667
1009.2904,119.345,2.8833
994.0063,115.8728,2.9
978.7664,112.974,2.9167
963.6616,110.6608,2.9333
948.5098,108.9054,2.95
933.4022,107.7233,2.9667
918.429,107.1166,2.9833
903.4095,107.0778,3.0
888.4343,107.6125,3.0167
873.5926,108.7122,3.0333
858.7055,110.3902,3.05
843.8627,112.6416,3.0667
829.1525,115.4478,3.0833
814.3978,118.8425,3.1
799.6872,122.8107,3.1167
785.1086,127.3233,3.1333
770.4862,132.4348,3.15
755.908,138.1197,3.1667
741.461,144.3387,3.1833
726.9709,151.167,3.2
712.5251,158.5686,3.2167
698.2096,166.4941,3.2333
683.8519,175.0391,3.25
669.5384,184.1574,3.2667
655.3544,193.7894,3.2833
641.129,204.0511,3.3
626.9479,214.8862,3.3167
612.8955,226.2246,3.3333
598.8025,238.203,3.35
584.7536,250.7548,3.3667
570.8328,263.7998,3.3833
556.8721,277.4949,3.4
